waveform	Ch0		Gen	
t0	10/9/2019  11:09:45.004536		10/9/2019  11:09:45.004536	
delta t	2.000000E-5		2.000000E-5	

time[0]	Ch0	time[1]	Gen
10/9/2019  11:09:45.004536	-3.202813E-3	10/9/2019  11:09:45.004536	3.912149E-2
10/9/2019  11:09:45.004556	-3.202813E-3	10/9/2019  11:09:45.004556	1.243700E-1
10/9/2019  11:09:45.004576	-8.840039E-2	10/9/2019  11:09:45.004576	1.243700E-1
10/9/2019  11:09:45.004596	-8.840039E-2	10/9/2019  11:09:45.004596	3.912149E-2
10/9/2019  11:09:45.004616	-1.735980E-1	10/9/2019  11:09:45.004616	3.912149E-2
10/9/2019  11:09:45.004636	-1.735980E-1	10/9/2019  11:09:45.004636	1.243700E-1
10/9/2019  11:09:45.004656	-1.735980E-1	10/9/2019  11:09:45.004656	3.912149E-2
10/9/2019  11:09:45.004676	-2.587955E-1	10/9/2019  11:09:45.004676	3.912149E-2
10/9/2019  11:09:45.004696	-2.587955E-1	10/9/2019  11:09:45.004696	1.243700E-1
10/9/2019  11:09:45.004716	-2.587955E-1	10/9/2019  11:09:45.004716	3.912149E-2
10/9/2019  11:09:45.004736	-3.439931E-1	10/9/2019  11:09:45.004736	3.912149E-2
10/9/2019  11:09:45.004756	-3.439931E-1	10/9/2019  11:09:45.004756	3.912149E-2
10/9/2019  11:09:45.004776	-3.439931E-1	10/9/2019  11:09:45.004776	3.912149E-2
10/9/2019  11:09:45.004796	-4.291907E-1	10/9/2019  11:09:45.004796	1.243700E-1
10/9/2019  11:09:45.004816	-4.291907E-1	10/9/2019  11:09:45.004816	3.912149E-2
10/9/2019  11:09:45.004836	-4.291907E-1	10/9/2019  11:09:45.004836	1.243700E-1
10/9/2019  11:09:45.004856	-4.291907E-1	10/9/2019  11:09:45.004856	1.243700E-1
10/9/2019  11:09:45.004876	-5.143883E-1	10/9/2019  11:09:45.004876	1.243700E-1
10/9/2019  11:09:45.004896	-5.143883E-1	10/9/2019  11:09:45.004896	3.912149E-2
10/9/2019  11:09:45.004916	-5.995858E-1	10/9/2019  11:09:45.004916	1.243700E-1
10/9/2019  11:09:45.004936	-5.995858E-1	10/9/2019  11:09:45.004936	1.243700E-1
10/9/2019  11:09:45.004956	-6.847834E-1	10/9/2019  11:09:45.004956	3.912149E-2
10/9/2019  11:09:45.004976	-6.847834E-1	10/9/2019  11:09:45.004976	3.912149E-2
10/9/2019  11:09:45.004996	-6.847834E-1	10/9/2019  11:09:45.004996	3.912149E-2
10/9/2019  11:09:45.005016	-7.699810E-1	10/9/2019  11:09:45.005016	1.243700E-1
10/9/2019  11:09:45.005036	-8.551786E-1	10/9/2019  11:09:45.005036	1.243700E-1
10/9/2019  11:09:45.005056	-8.551786E-1	10/9/2019  11:09:45.005056	3.912149E-2
10/9/2019  11:09:45.005076	-8.551786E-1	10/9/2019  11:09:45.005076	1.243700E-1
10/9/2019  11:09:45.005096	-8.551786E-1	10/9/2019  11:09:45.005096	1.243700E-1
10/9/2019  11:09:45.005116	-9.403761E-1	10/9/2019  11:09:45.005116	3.912149E-2
10/9/2019  11:09:45.005136	-9.403761E-1	10/9/2019  11:09:45.005136	3.912149E-2
10/9/2019  11:09:45.005156	-9.403761E-1	10/9/2019  11:09:45.005156	3.912149E-2
10/9/2019  11:09:45.005176	-1.025574E+0	10/9/2019  11:09:45.005176	3.912149E-2
10/9/2019  11:09:45.005196	-1.110771E+0	10/9/2019  11:09:45.005196	3.912149E-2
10/9/2019  11:09:45.005216	-1.110771E+0	10/9/2019  11:09:45.005216	3.912149E-2
10/9/2019  11:09:45.005236	-1.195969E+0	10/9/2019  11:09:45.005236	3.912149E-2
10/9/2019  11:09:45.005256	-1.281166E+0	10/9/2019  11:09:45.005256	1.243700E-1
10/9/2019  11:09:45.005276	-1.281166E+0	10/9/2019  11:09:45.005276	3.912149E-2
10/9/2019  11:09:45.005296	-1.281166E+0	10/9/2019  11:09:45.005296	1.243700E-1
10/9/2019  11:09:45.005316	-1.366364E+0	10/9/2019  11:09:45.005316	3.912149E-2
10/9/2019  11:09:45.005336	-1.366364E+0	10/9/2019  11:09:45.005336	1.243700E-1
10/9/2019  11:09:45.005356	-1.451562E+0	10/9/2019  11:09:45.005356	3.912149E-2
10/9/2019  11:09:45.005376	-1.536759E+0	10/9/2019  11:09:45.005376	1.243700E-1
10/9/2019  11:09:45.005396	-1.536759E+0	10/9/2019  11:09:45.005396	3.912149E-2
10/9/2019  11:09:45.005416	-1.536759E+0	10/9/2019  11:09:45.005416	1.243700E-1
10/9/2019  11:09:45.005436	-1.621957E+0	10/9/2019  11:09:45.005436	1.243700E-1
10/9/2019  11:09:45.005456	-1.621957E+0	10/9/2019  11:09:45.005456	1.243700E-1
