waveform	Ch0		Gen	
t0	9/23/2019  11:46:27.601080		9/23/2019  11:46:27.601080	
delta t	8.000000E-7		8.000000E-7	

time[0]	Ch0	time[1]	Gen
9/23/2019  11:46:27.601080	-3.202813E-3	9/23/2019  11:46:27.601080	3.690720E-1
9/23/2019  11:46:27.601080	-3.202813E-3	9/23/2019  11:46:27.601080	2.014659E-1
9/23/2019  11:46:27.601081	8.199476E-2	9/23/2019  11:46:27.601081	-1.337464E-1
9/23/2019  11:46:27.601082	8.199476E-2	9/23/2019  11:46:27.601082	-1.337464E-1
9/23/2019  11:46:27.601083	8.199476E-2	9/23/2019  11:46:27.601083	-4.689587E-1
9/23/2019  11:46:27.601084	8.199476E-2	9/23/2019  11:46:27.601084	-8.041710E-1
9/23/2019  11:46:27.601084	1.671923E-1	9/23/2019  11:46:27.601084	-9.717772E-1
9/23/2019  11:46:27.601085	8.199476E-2	9/23/2019  11:46:27.601085	-1.139383E+0
9/23/2019  11:46:27.601086	1.671923E-1	9/23/2019  11:46:27.601086	-1.474596E+0
9/23/2019  11:46:27.601087	2.523899E-1	9/23/2019  11:46:27.601087	-1.642202E+0
9/23/2019  11:46:27.601088	2.523899E-1	9/23/2019  11:46:27.601088	-1.977414E+0
9/23/2019  11:46:27.601088	2.523899E-1	9/23/2019  11:46:27.601088	-2.145020E+0
9/23/2019  11:46:27.601089	3.375875E-1	9/23/2019  11:46:27.601089	-2.312626E+0
9/23/2019  11:46:27.601090	3.375875E-1	9/23/2019  11:46:27.601090	-2.647839E+0
9/23/2019  11:46:27.601091	3.375875E-1	9/23/2019  11:46:27.601091	-2.815445E+0
9/23/2019  11:46:27.601092	3.375875E-1	9/23/2019  11:46:27.601092	-2.983051E+0
9/23/2019  11:46:27.601092	4.227851E-1	9/23/2019  11:46:27.601092	-3.318263E+0
9/23/2019  11:46:27.601093	4.227851E-1	9/23/2019  11:46:27.601093	-3.485869E+0
9/23/2019  11:46:27.601094	4.227851E-1	9/23/2019  11:46:27.601094	-3.821082E+0
9/23/2019  11:46:27.601095	4.227851E-1	9/23/2019  11:46:27.601095	-3.988688E+0
9/23/2019  11:46:27.601096	5.079826E-1	9/23/2019  11:46:27.601096	-4.156294E+0
9/23/2019  11:46:27.601096	5.079826E-1	9/23/2019  11:46:27.601096	-4.659112E+0
9/23/2019  11:46:27.601097	5.079826E-1	9/23/2019  11:46:27.601097	-4.826718E+0
9/23/2019  11:46:27.601098	5.931802E-1	9/23/2019  11:46:27.601098	-4.994325E+0
9/23/2019  11:46:27.601099	5.079826E-1	9/23/2019  11:46:27.601099	-5.161931E+0
9/23/2019  11:46:27.601100	5.931802E-1	9/23/2019  11:46:27.601100	-5.497143E+0
9/23/2019  11:46:27.601100	6.783778E-1	9/23/2019  11:46:27.601100	-5.664749E+0
9/23/2019  11:46:27.601101	6.783778E-1	9/23/2019  11:46:27.601101	-5.999962E+0
9/23/2019  11:46:27.601102	6.783778E-1	9/23/2019  11:46:27.601102	-6.167568E+0
9/23/2019  11:46:27.601103	6.783778E-1	9/23/2019  11:46:27.601103	-6.335174E+0
