waveform	Ch0		Gen	
t0	9/30/2019  11:12:06.374791		9/30/2019  11:12:06.374791	
delta t	2.000000E-5		2.000000E-5	

time[0]	Ch0	time[1]	Gen
9/30/2019  11:12:06.374791	3.075987E+0	9/30/2019  11:12:06.374791	2.369364E+1
9/30/2019  11:12:06.374811	3.075987E+0	9/30/2019  11:12:06.374811	2.369364E+1
9/30/2019  11:12:06.374831	3.075987E+0	9/30/2019  11:12:06.374831	2.326772E+1
9/30/2019  11:12:06.374851	3.503700E+0	9/30/2019  11:12:06.374851	2.369364E+1
9/30/2019  11:12:06.374871	3.503700E+0	9/30/2019  11:12:06.374871	2.369364E+1
9/30/2019  11:12:06.374891	3.503700E+0	9/30/2019  11:12:06.374891	2.369364E+1
9/30/2019  11:12:06.374911	3.931413E+0	9/30/2019  11:12:06.374911	2.369364E+1
9/30/2019  11:12:06.374931	3.503700E+0	9/30/2019  11:12:06.374931	2.369364E+1
9/30/2019  11:12:06.374951	3.503700E+0	9/30/2019  11:12:06.374951	2.411956E+1
9/30/2019  11:12:06.374971	3.503700E+0	9/30/2019  11:12:06.374971	2.369364E+1
9/30/2019  11:12:06.374991	3.931413E+0	9/30/2019  11:12:06.374991	2.369364E+1
9/30/2019  11:12:06.375011	3.503700E+0	9/30/2019  11:12:06.375011	2.369364E+1
9/30/2019  11:12:06.375031	3.931413E+0	9/30/2019  11:12:06.375031	2.369364E+1
9/30/2019  11:12:06.375051	3.931413E+0	9/30/2019  11:12:06.375051	2.411956E+1
9/30/2019  11:12:06.375071	3.931413E+0	9/30/2019  11:12:06.375071	2.369364E+1
9/30/2019  11:12:06.375091	3.931413E+0	9/30/2019  11:12:06.375091	2.411956E+1
9/30/2019  11:12:06.375111	3.931413E+0	9/30/2019  11:12:06.375111	2.411956E+1
9/30/2019  11:12:06.375131	3.931413E+0	9/30/2019  11:12:06.375131	2.411956E+1
9/30/2019  11:12:06.375151	3.931413E+0	9/30/2019  11:12:06.375151	2.411956E+1
9/30/2019  11:12:06.375171	3.931413E+0	9/30/2019  11:12:06.375171	2.411956E+1
9/30/2019  11:12:06.375191	3.931413E+0	9/30/2019  11:12:06.375191	2.411956E+1
9/30/2019  11:12:06.375211	4.359126E+0	9/30/2019  11:12:06.375211	2.411956E+1
9/30/2019  11:12:06.375231	4.359126E+0	9/30/2019  11:12:06.375231	2.411956E+1
9/30/2019  11:12:06.375251	4.359126E+0	9/30/2019  11:12:06.375251	2.411956E+1
9/30/2019  11:12:06.375271	4.359126E+0	9/30/2019  11:12:06.375271	2.411956E+1
9/30/2019  11:12:06.375291	4.786839E+0	9/30/2019  11:12:06.375291	2.454547E+1
9/30/2019  11:12:06.375311	4.359126E+0	9/30/2019  11:12:06.375311	2.454547E+1
9/30/2019  11:12:06.375331	4.359126E+0	9/30/2019  11:12:06.375331	2.454547E+1
9/30/2019  11:12:06.375351	4.786839E+0	9/30/2019  11:12:06.375351	2.454547E+1
9/30/2019  11:12:06.375371	4.359126E+0	9/30/2019  11:12:06.375371	2.454547E+1
9/30/2019  11:12:06.375391	5.214552E+0	9/30/2019  11:12:06.375391	2.454547E+1
9/30/2019  11:12:06.375411	4.786839E+0	9/30/2019  11:12:06.375411	2.454547E+1
9/30/2019  11:12:06.375431	4.786839E+0	9/30/2019  11:12:06.375431	2.497139E+1
9/30/2019  11:12:06.375451	5.214552E+0	9/30/2019  11:12:06.375451	2.497139E+1
9/30/2019  11:12:06.375471	4.786839E+0	9/30/2019  11:12:06.375471	2.454547E+1
9/30/2019  11:12:06.375491	4.786839E+0	9/30/2019  11:12:06.375491	2.497139E+1
9/30/2019  11:12:06.375511	4.786839E+0	9/30/2019  11:12:06.375511	2.497139E+1
9/30/2019  11:12:06.375531	5.214552E+0	9/30/2019  11:12:06.375531	2.497139E+1
9/30/2019  11:12:06.375551	5.214552E+0	9/30/2019  11:12:06.375551	2.497139E+1
9/30/2019  11:12:06.375571	5.214552E+0	9/30/2019  11:12:06.375571	2.497139E+1
9/30/2019  11:12:06.375591	5.214552E+0	9/30/2019  11:12:06.375591	2.497139E+1
9/30/2019  11:12:06.375611	4.786839E+0	9/30/2019  11:12:06.375611	2.497139E+1
9/30/2019  11:12:06.375631	5.214552E+0	9/30/2019  11:12:06.375631	2.497139E+1
9/30/2019  11:12:06.375651	5.214552E+0	9/30/2019  11:12:06.375651	2.497139E+1
9/30/2019  11:12:06.375671	5.214552E+0	9/30/2019  11:12:06.375671	2.497139E+1
9/30/2019  11:12:06.375691	5.214552E+0	9/30/2019  11:12:06.375691	2.539731E+1
9/30/2019  11:12:06.375711	5.214552E+0	9/30/2019  11:12:06.375711	2.497139E+1
9/30/2019  11:12:06.375731	5.214552E+0	9/30/2019  11:12:06.375731	2.539731E+1
9/30/2019  11:12:06.375751	5.642265E+0	9/30/2019  11:12:06.375751	2.539731E+1
9/30/2019  11:12:06.375771	5.214552E+0	9/30/2019  11:12:06.375771	2.539731E+1
9/30/2019  11:12:06.375791	5.214552E+0	9/30/2019  11:12:06.375791	2.539731E+1
9/30/2019  11:12:06.375811	5.214552E+0	9/30/2019  11:12:06.375811	2.539731E+1
9/30/2019  11:12:06.375831	5.642265E+0	9/30/2019  11:12:06.375831	2.539731E+1
9/30/2019  11:12:06.375851	5.642265E+0	9/30/2019  11:12:06.375851	2.539731E+1
9/30/2019  11:12:06.375871	5.642265E+0	9/30/2019  11:12:06.375871	2.539731E+1
9/30/2019  11:12:06.375891	5.642265E+0	9/30/2019  11:12:06.375891	2.539731E+1
