waveform	Ch0		Gen	
t0	10/7/2019  11:02:26.152984		10/7/2019  11:02:26.152984	
delta t	2.000000E-6		2.000000E-6	

time[0]	Ch0	time[1]	Gen
10/7/2019  11:02:26.152984	-4.622850E-1	10/7/2019  11:02:26.152984	1.136704E-2
10/7/2019  11:02:26.152986	-4.622850E-1	10/7/2019  11:02:26.152986	1.305653E-2
10/7/2019  11:02:26.152988	-4.195137E-1	10/7/2019  11:02:26.152988	1.305653E-2
10/7/2019  11:02:26.152990	-4.622850E-1	10/7/2019  11:02:26.152990	1.221179E-2
10/7/2019  11:02:26.152992	-4.195137E-1	10/7/2019  11:02:26.152992	1.390128E-2
10/7/2019  11:02:26.152994	-4.622850E-1	10/7/2019  11:02:26.152994	1.221179E-2
10/7/2019  11:02:26.152996	-4.195137E-1	10/7/2019  11:02:26.152996	1.305653E-2
10/7/2019  11:02:26.152998	-4.195137E-1	10/7/2019  11:02:26.152998	1.221179E-2
10/7/2019  11:02:26.153000	-4.195137E-1	10/7/2019  11:02:26.153000	1.305653E-2
10/7/2019  11:02:26.153002	-4.195137E-1	10/7/2019  11:02:26.153002	1.136704E-2
10/7/2019  11:02:26.153004	-4.622850E-1	10/7/2019  11:02:26.153004	1.559077E-2
10/7/2019  11:02:26.153006	-4.622850E-1	10/7/2019  11:02:26.153006	1.221179E-2
10/7/2019  11:02:26.153008	-4.622850E-1	10/7/2019  11:02:26.153008	1.305653E-2
10/7/2019  11:02:26.153010	-4.195137E-1	10/7/2019  11:02:26.153010	1.474602E-2
10/7/2019  11:02:26.153012	-4.195137E-1	10/7/2019  11:02:26.153012	1.221179E-2
10/7/2019  11:02:26.153014	-4.622850E-1	10/7/2019  11:02:26.153014	1.305653E-2
10/7/2019  11:02:26.153016	-4.195137E-1	10/7/2019  11:02:26.153016	1.305653E-2
10/7/2019  11:02:26.153018	-4.622850E-1	10/7/2019  11:02:26.153018	1.305653E-2
10/7/2019  11:02:26.153020	-4.622850E-1	10/7/2019  11:02:26.153020	1.221179E-2
10/7/2019  11:02:26.153022	-4.622850E-1	10/7/2019  11:02:26.153022	1.221179E-2
10/7/2019  11:02:26.153024	-4.622850E-1	10/7/2019  11:02:26.153024	1.221179E-2
10/7/2019  11:02:26.153026	-4.622850E-1	10/7/2019  11:02:26.153026	1.305653E-2
10/7/2019  11:02:26.153028	-4.622850E-1	10/7/2019  11:02:26.153028	1.052230E-2
10/7/2019  11:02:26.153030	-4.622850E-1	10/7/2019  11:02:26.153030	1.390128E-2
10/7/2019  11:02:26.153032	-4.195137E-1	10/7/2019  11:02:26.153032	1.221179E-2
10/7/2019  11:02:26.153034	-4.622850E-1	10/7/2019  11:02:26.153034	1.221179E-2
10/7/2019  11:02:26.153036	-4.195137E-1	10/7/2019  11:02:26.153036	1.221179E-2
10/7/2019  11:02:26.153038	-4.622850E-1	10/7/2019  11:02:26.153038	1.305653E-2
10/7/2019  11:02:26.153040	-4.622850E-1	10/7/2019  11:02:26.153040	1.474602E-2
10/7/2019  11:02:26.153042	-4.195137E-1	10/7/2019  11:02:26.153042	1.221179E-2
10/7/2019  11:02:26.153044	-4.622850E-1	10/7/2019  11:02:26.153044	1.221179E-2
10/7/2019  11:02:26.153046	-4.195137E-1	10/7/2019  11:02:26.153046	1.221179E-2
10/7/2019  11:02:26.153048	-4.195137E-1	10/7/2019  11:02:26.153048	1.221179E-2
10/7/2019  11:02:26.153050	-4.622850E-1	10/7/2019  11:02:26.153050	1.221179E-2
10/7/2019  11:02:26.153052	-4.622850E-1	10/7/2019  11:02:26.153052	1.305653E-2
10/7/2019  11:02:26.153054	-4.195137E-1	10/7/2019  11:02:26.153054	1.221179E-2
10/7/2019  11:02:26.153056	-4.622850E-1	10/7/2019  11:02:26.153056	1.221179E-2
10/7/2019  11:02:26.153058	-4.622850E-1	10/7/2019  11:02:26.153058	1.390128E-2
10/7/2019  11:02:26.153060	-4.622850E-1	10/7/2019  11:02:26.153060	1.221179E-2
10/7/2019  11:02:26.153062	-4.622850E-1	10/7/2019  11:02:26.153062	1.390128E-2
10/7/2019  11:02:26.153064	-4.195137E-1	10/7/2019  11:02:26.153064	1.305653E-2
10/7/2019  11:02:26.153066	-4.622850E-1	10/7/2019  11:02:26.153066	1.305653E-2
10/7/2019  11:02:26.153068	-4.195137E-1	10/7/2019  11:02:26.153068	1.221179E-2
10/7/2019  11:02:26.153070	-4.195137E-1	10/7/2019  11:02:26.153070	1.305653E-2
10/7/2019  11:02:26.153072	-4.622850E-1	10/7/2019  11:02:26.153072	1.221179E-2
10/7/2019  11:02:26.153074	-4.195137E-1	10/7/2019  11:02:26.153074	1.221179E-2
10/7/2019  11:02:26.153076	-4.622850E-1	10/7/2019  11:02:26.153076	1.221179E-2
10/7/2019  11:02:26.153078	-4.622850E-1	10/7/2019  11:02:26.153078	1.390128E-2
10/7/2019  11:02:26.153080	-4.195137E-1	10/7/2019  11:02:26.153080	1.221179E-2
10/7/2019  11:02:26.153082	-4.622850E-1	10/7/2019  11:02:26.153082	1.221179E-2
10/7/2019  11:02:26.153084	-4.622850E-1	10/7/2019  11:02:26.153084	1.390128E-2
10/7/2019  11:02:26.153086	-4.195137E-1	10/7/2019  11:02:26.153086	1.305653E-2
10/7/2019  11:02:26.153088	-4.622850E-1	10/7/2019  11:02:26.153088	1.221179E-2
10/7/2019  11:02:26.153090	-4.622850E-1	10/7/2019  11:02:26.153090	1.474602E-2
10/7/2019  11:02:26.153092	-4.622850E-1	10/7/2019  11:02:26.153092	1.305653E-2
10/7/2019  11:02:26.153094	-4.195137E-1	10/7/2019  11:02:26.153094	1.221179E-2
10/7/2019  11:02:26.153096	-4.622850E-1	10/7/2019  11:02:26.153096	1.305653E-2
10/7/2019  11:02:26.153098	-4.195137E-1	10/7/2019  11:02:26.153098	1.221179E-2
10/7/2019  11:02:26.153100	-4.195137E-1	10/7/2019  11:02:26.153100	1.390128E-2
10/7/2019  11:02:26.153102	-4.622850E-1	10/7/2019  11:02:26.153102	1.559077E-2
10/7/2019  11:02:26.153104	-4.195137E-1	10/7/2019  11:02:26.153104	1.305653E-2
10/7/2019  11:02:26.153106	-4.622850E-1	10/7/2019  11:02:26.153106	1.221179E-2
10/7/2019  11:02:26.153108	-4.195137E-1	10/7/2019  11:02:26.153108	1.390128E-2
10/7/2019  11:02:26.153110	-4.622850E-1	10/7/2019  11:02:26.153110	1.559077E-2
10/7/2019  11:02:26.153112	-4.622850E-1	10/7/2019  11:02:26.153112	1.221179E-2
10/7/2019  11:02:26.153114	-4.622850E-1	10/7/2019  11:02:26.153114	1.305653E-2
10/7/2019  11:02:26.153116	-4.195137E-1	10/7/2019  11:02:26.153116	1.305653E-2
10/7/2019  11:02:26.153118	-4.195137E-1	10/7/2019  11:02:26.153118	1.305653E-2
10/7/2019  11:02:26.153120	-4.622850E-1	10/7/2019  11:02:26.153120	1.390128E-2
10/7/2019  11:02:26.153122	-4.622850E-1	10/7/2019  11:02:26.153122	1.305653E-2
10/7/2019  11:02:26.153124	-4.195137E-1	10/7/2019  11:02:26.153124	1.390128E-2
10/7/2019  11:02:26.153126	-4.622850E-1	10/7/2019  11:02:26.153126	1.305653E-2
10/7/2019  11:02:26.153128	-4.195137E-1	10/7/2019  11:02:26.153128	1.305653E-2
10/7/2019  11:02:26.153130	-4.622850E-1	10/7/2019  11:02:26.153130	1.221179E-2
10/7/2019  11:02:26.153132	-4.622850E-1	10/7/2019  11:02:26.153132	1.305653E-2
10/7/2019  11:02:26.153134	-4.622850E-1	10/7/2019  11:02:26.153134	1.390128E-2
10/7/2019  11:02:26.153136	-4.622850E-1	10/7/2019  11:02:26.153136	1.221179E-2
10/7/2019  11:02:26.153138	-4.195137E-1	10/7/2019  11:02:26.153138	1.390128E-2
10/7/2019  11:02:26.153140	-4.195137E-1	10/7/2019  11:02:26.153140	1.221179E-2
10/7/2019  11:02:26.153142	-4.622850E-1	10/7/2019  11:02:26.153142	1.390128E-2
10/7/2019  11:02:26.153144	-4.622850E-1	10/7/2019  11:02:26.153144	1.390128E-2
10/7/2019  11:02:26.153146	-4.195137E-1	10/7/2019  11:02:26.153146	1.305653E-2
10/7/2019  11:02:26.153148	-4.622850E-1	10/7/2019  11:02:26.153148	1.305653E-2
10/7/2019  11:02:26.153150	-4.622850E-1	10/7/2019  11:02:26.153150	1.390128E-2
10/7/2019  11:02:26.153152	-4.195137E-1	10/7/2019  11:02:26.153152	1.221179E-2
10/7/2019  11:02:26.153154	-4.622850E-1	10/7/2019  11:02:26.153154	1.305653E-2
10/7/2019  11:02:26.153156	-4.622850E-1	10/7/2019  11:02:26.153156	1.305653E-2
10/7/2019  11:02:26.153158	-4.195137E-1	10/7/2019  11:02:26.153158	1.390128E-2
10/7/2019  11:02:26.153160	-4.622850E-1	10/7/2019  11:02:26.153160	1.474602E-2
10/7/2019  11:02:26.153162	-4.195137E-1	10/7/2019  11:02:26.153162	1.305653E-2
10/7/2019  11:02:26.153164	-4.195137E-1	10/7/2019  11:02:26.153164	1.390128E-2
10/7/2019  11:02:26.153166	-4.622850E-1	10/7/2019  11:02:26.153166	1.221179E-2
10/7/2019  11:02:26.153168	-4.622850E-1	10/7/2019  11:02:26.153168	1.390128E-2
10/7/2019  11:02:26.153170	-4.195137E-1	10/7/2019  11:02:26.153170	1.221179E-2
10/7/2019  11:02:26.153172	-4.622850E-1	10/7/2019  11:02:26.153172	1.390128E-2
10/7/2019  11:02:26.153174	-4.622850E-1	10/7/2019  11:02:26.153174	1.474602E-2
10/7/2019  11:02:26.153176	-4.622850E-1	10/7/2019  11:02:26.153176	1.305653E-2
10/7/2019  11:02:26.153178	-4.622850E-1	10/7/2019  11:02:26.153178	1.305653E-2
10/7/2019  11:02:26.153180	-4.622850E-1	10/7/2019  11:02:26.153180	1.390128E-2
10/7/2019  11:02:26.153182	-4.195137E-1	10/7/2019  11:02:26.153182	1.559077E-2
10/7/2019  11:02:26.153184	-4.195137E-1	10/7/2019  11:02:26.153184	1.221179E-2
10/7/2019  11:02:26.153186	-4.622850E-1	10/7/2019  11:02:26.153186	1.305653E-2
10/7/2019  11:02:26.153188	-4.622850E-1	10/7/2019  11:02:26.153188	1.305653E-2
10/7/2019  11:02:26.153190	-4.195137E-1	10/7/2019  11:02:26.153190	1.390128E-2
10/7/2019  11:02:26.153192	-4.622850E-1	10/7/2019  11:02:26.153192	1.305653E-2
10/7/2019  11:02:26.153194	-4.195137E-1	10/7/2019  11:02:26.153194	1.390128E-2
10/7/2019  11:02:26.153196	-4.622850E-1	10/7/2019  11:02:26.153196	1.221179E-2
10/7/2019  11:02:26.153198	-4.195137E-1	10/7/2019  11:02:26.153198	1.305653E-2
10/7/2019  11:02:26.153200	-4.622850E-1	10/7/2019  11:02:26.153200	1.305653E-2
10/7/2019  11:02:26.153202	-4.195137E-1	10/7/2019  11:02:26.153202	1.474602E-2
10/7/2019  11:02:26.153204	-4.622850E-1	10/7/2019  11:02:26.153204	1.305653E-2
