waveform	Ch0		Gen	
t0	10/7/2019  11:21:24.477736		10/7/2019  11:21:24.477736	
delta t	2.000000E-6		2.000000E-6	

time[0]	Ch0	time[1]	Gen
10/7/2019  11:21:24.477736	-4.622850E-1	10/7/2019  11:21:24.477736	4.101462E-1
10/7/2019  11:21:24.477738	-4.195137E-1	10/7/2019  11:21:24.477738	4.101462E-1
10/7/2019  11:21:24.477740	-4.195137E-1	10/7/2019  11:21:24.477740	4.101462E-1
10/7/2019  11:21:24.477742	-4.195137E-1	10/7/2019  11:21:24.477742	4.101462E-1
10/7/2019  11:21:24.477744	-4.622850E-1	10/7/2019  11:21:24.477744	4.101462E-1
10/7/2019  11:21:24.477746	-4.622850E-1	10/7/2019  11:21:24.477746	3.675545E-1
10/7/2019  11:21:24.477748	-4.622850E-1	10/7/2019  11:21:24.477748	4.101462E-1
10/7/2019  11:21:24.477750	-4.195137E-1	10/7/2019  11:21:24.477750	3.675545E-1
10/7/2019  11:21:24.477752	-4.622850E-1	10/7/2019  11:21:24.477752	3.675545E-1
10/7/2019  11:21:24.477754	-4.622850E-1	10/7/2019  11:21:24.477754	3.675545E-1
10/7/2019  11:21:24.477756	-4.622850E-1	10/7/2019  11:21:24.477756	3.675545E-1
10/7/2019  11:21:24.477758	-4.195137E-1	10/7/2019  11:21:24.477758	3.249629E-1
10/7/2019  11:21:24.477760	-4.622850E-1	10/7/2019  11:21:24.477760	3.675545E-1
10/7/2019  11:21:24.477762	-4.622850E-1	10/7/2019  11:21:24.477762	3.675545E-1
10/7/2019  11:21:24.477764	-4.622850E-1	10/7/2019  11:21:24.477764	3.249629E-1
10/7/2019  11:21:24.477766	-4.195137E-1	10/7/2019  11:21:24.477766	3.675545E-1
10/7/2019  11:21:24.477768	-4.195137E-1	10/7/2019  11:21:24.477768	3.249629E-1
10/7/2019  11:21:24.477770	-4.195137E-1	10/7/2019  11:21:24.477770	3.249629E-1
10/7/2019  11:21:24.477772	-4.195137E-1	10/7/2019  11:21:24.477772	3.249629E-1
10/7/2019  11:21:24.477774	-4.622850E-1	10/7/2019  11:21:24.477774	3.249629E-1
10/7/2019  11:21:24.477776	-4.622850E-1	10/7/2019  11:21:24.477776	3.249629E-1
10/7/2019  11:21:24.477778	-4.195137E-1	10/7/2019  11:21:24.477778	3.249629E-1
10/7/2019  11:21:24.477780	-4.195137E-1	10/7/2019  11:21:24.477780	3.249629E-1
10/7/2019  11:21:24.477782	-4.622850E-1	10/7/2019  11:21:24.477782	3.249629E-1
10/7/2019  11:21:24.477784	-4.622850E-1	10/7/2019  11:21:24.477784	3.249629E-1
10/7/2019  11:21:24.477786	-4.622850E-1	10/7/2019  11:21:24.477786	2.823712E-1
10/7/2019  11:21:24.477788	-4.195137E-1	10/7/2019  11:21:24.477788	3.249629E-1
10/7/2019  11:21:24.477790	-4.622850E-1	10/7/2019  11:21:24.477790	3.249629E-1
10/7/2019  11:21:24.477792	-4.622850E-1	10/7/2019  11:21:24.477792	2.823712E-1
10/7/2019  11:21:24.477794	-4.622850E-1	10/7/2019  11:21:24.477794	2.823712E-1
10/7/2019  11:21:24.477796	-4.622850E-1	10/7/2019  11:21:24.477796	2.823712E-1
10/7/2019  11:21:24.477798	-4.622850E-1	10/7/2019  11:21:24.477798	2.823712E-1
10/7/2019  11:21:24.477800	-4.195137E-1	10/7/2019  11:21:24.477800	2.823712E-1
10/7/2019  11:21:24.477802	-4.195137E-1	10/7/2019  11:21:24.477802	2.823712E-1
10/7/2019  11:21:24.477804	-4.622850E-1	10/7/2019  11:21:24.477804	2.397795E-1
10/7/2019  11:21:24.477806	-4.195137E-1	10/7/2019  11:21:24.477806	2.823712E-1
10/7/2019  11:21:24.477808	-4.195137E-1	10/7/2019  11:21:24.477808	3.249629E-1
10/7/2019  11:21:24.477810	-4.195137E-1	10/7/2019  11:21:24.477810	2.823712E-1
10/7/2019  11:21:24.477812	-4.622850E-1	10/7/2019  11:21:24.477812	2.397795E-1
10/7/2019  11:21:24.477814	-4.195137E-1	10/7/2019  11:21:24.477814	2.823712E-1
10/7/2019  11:21:24.477816	-4.622850E-1	10/7/2019  11:21:24.477816	2.397795E-1
10/7/2019  11:21:24.477818	-4.195137E-1	10/7/2019  11:21:24.477818	2.397795E-1
10/7/2019  11:21:24.477820	-4.622850E-1	10/7/2019  11:21:24.477820	2.823712E-1
10/7/2019  11:21:24.477822	-4.622850E-1	10/7/2019  11:21:24.477822	2.397795E-1
10/7/2019  11:21:24.477824	-4.195137E-1	10/7/2019  11:21:24.477824	2.397795E-1
10/7/2019  11:21:24.477826	-4.622850E-1	10/7/2019  11:21:24.477826	2.397795E-1
10/7/2019  11:21:24.477828	-4.195137E-1	10/7/2019  11:21:24.477828	2.823712E-1
10/7/2019  11:21:24.477830	-4.195137E-1	10/7/2019  11:21:24.477830	2.397795E-1
10/7/2019  11:21:24.477832	-4.622850E-1	10/7/2019  11:21:24.477832	2.397795E-1
10/7/2019  11:21:24.477834	-4.622850E-1	10/7/2019  11:21:24.477834	2.397795E-1
10/7/2019  11:21:24.477836	-4.622850E-1	10/7/2019  11:21:24.477836	2.397795E-1
10/7/2019  11:21:24.477838	-4.622850E-1	10/7/2019  11:21:24.477838	2.397795E-1
10/7/2019  11:21:24.477840	-4.622850E-1	10/7/2019  11:21:24.477840	2.397795E-1
10/7/2019  11:21:24.477842	-4.622850E-1	10/7/2019  11:21:24.477842	1.971878E-1
10/7/2019  11:21:24.477844	-4.195137E-1	10/7/2019  11:21:24.477844	1.971878E-1
10/7/2019  11:21:24.477846	-4.195137E-1	10/7/2019  11:21:24.477846	1.971878E-1
10/7/2019  11:21:24.477848	-4.622850E-1	10/7/2019  11:21:24.477848	2.397795E-1
10/7/2019  11:21:24.477850	-4.622850E-1	10/7/2019  11:21:24.477850	1.971878E-1
10/7/2019  11:21:24.477852	-4.622850E-1	10/7/2019  11:21:24.477852	2.397795E-1
10/7/2019  11:21:24.477854	-4.622850E-1	10/7/2019  11:21:24.477854	2.397795E-1
10/7/2019  11:21:24.477856	-4.195137E-1	10/7/2019  11:21:24.477856	1.971878E-1
10/7/2019  11:21:24.477858	-4.195137E-1	10/7/2019  11:21:24.477858	1.971878E-1
10/7/2019  11:21:24.477860	-4.622850E-1	10/7/2019  11:21:24.477860	1.971878E-1
10/7/2019  11:21:24.477862	-4.622850E-1	10/7/2019  11:21:24.477862	1.971878E-1
10/7/2019  11:21:24.477864	-4.622850E-1	10/7/2019  11:21:24.477864	1.971878E-1
10/7/2019  11:21:24.477866	-4.622850E-1	10/7/2019  11:21:24.477866	1.971878E-1
