waveform	Ch0		Gen	
t0	10/7/2019  10:05:28.534894		10/7/2019  10:05:28.534894	
delta t	2.000000E-5		2.000000E-5	

time[0]	Ch0	time[1]	Gen
10/7/2019  10:05:28.534894	-1.201145E-1	10/7/2019  10:05:28.534894	3.249629E-1
10/7/2019  10:05:28.534914	-1.201145E-1	10/7/2019  10:05:28.534914	3.675545E-1
10/7/2019  10:05:28.534934	-7.734315E-2	10/7/2019  10:05:28.534934	3.675545E-1
10/7/2019  10:05:28.534954	-1.201145E-1	10/7/2019  10:05:28.534954	3.675545E-1
10/7/2019  10:05:28.534974	-1.201145E-1	10/7/2019  10:05:28.534974	3.675545E-1
10/7/2019  10:05:28.534994	-1.201145E-1	10/7/2019  10:05:28.534994	3.675545E-1
10/7/2019  10:05:28.535014	-1.201145E-1	10/7/2019  10:05:28.535014	3.675545E-1
10/7/2019  10:05:28.535034	-1.201145E-1	10/7/2019  10:05:28.535034	4.101462E-1
10/7/2019  10:05:28.535054	-1.201145E-1	10/7/2019  10:05:28.535054	4.101462E-1
10/7/2019  10:05:28.535074	-1.201145E-1	10/7/2019  10:05:28.535074	3.675545E-1
10/7/2019  10:05:28.535094	-1.201145E-1	10/7/2019  10:05:28.535094	4.101462E-1
10/7/2019  10:05:28.535114	-1.201145E-1	10/7/2019  10:05:28.535114	4.101462E-1
10/7/2019  10:05:28.535134	-1.201145E-1	10/7/2019  10:05:28.535134	4.101462E-1
10/7/2019  10:05:28.535154	-1.201145E-1	10/7/2019  10:05:28.535154	4.101462E-1
10/7/2019  10:05:28.535174	-1.201145E-1	10/7/2019  10:05:28.535174	4.101462E-1
10/7/2019  10:05:28.535194	-1.201145E-1	10/7/2019  10:05:28.535194	4.101462E-1
10/7/2019  10:05:28.535214	-1.201145E-1	10/7/2019  10:05:28.535214	4.101462E-1
10/7/2019  10:05:28.535234	-1.201145E-1	10/7/2019  10:05:28.535234	4.527379E-1
10/7/2019  10:05:28.535254	-1.201145E-1	10/7/2019  10:05:28.535254	4.101462E-1
10/7/2019  10:05:28.535274	-1.201145E-1	10/7/2019  10:05:28.535274	4.527379E-1
10/7/2019  10:05:28.535294	-1.201145E-1	10/7/2019  10:05:28.535294	4.527379E-1
10/7/2019  10:05:28.535314	-1.201145E-1	10/7/2019  10:05:28.535314	4.101462E-1
10/7/2019  10:05:28.535334	-1.201145E-1	10/7/2019  10:05:28.535334	4.527379E-1
10/7/2019  10:05:28.535354	-1.201145E-1	10/7/2019  10:05:28.535354	4.527379E-1
10/7/2019  10:05:28.535374	-1.201145E-1	10/7/2019  10:05:28.535374	4.527379E-1
10/7/2019  10:05:28.535394	-1.201145E-1	10/7/2019  10:05:28.535394	4.953296E-1
10/7/2019  10:05:28.535414	-1.201145E-1	10/7/2019  10:05:28.535414	4.953296E-1
10/7/2019  10:05:28.535434	-1.201145E-1	10/7/2019  10:05:28.535434	4.527379E-1
10/7/2019  10:05:28.535454	-1.201145E-1	10/7/2019  10:05:28.535454	4.953296E-1
10/7/2019  10:05:28.535474	-1.201145E-1	10/7/2019  10:05:28.535474	4.527379E-1
10/7/2019  10:05:28.535494	-1.201145E-1	10/7/2019  10:05:28.535494	4.527379E-1
10/7/2019  10:05:28.535514	-1.201145E-1	10/7/2019  10:05:28.535514	4.953296E-1
10/7/2019  10:05:28.535534	-1.201145E-1	10/7/2019  10:05:28.535534	4.953296E-1
10/7/2019  10:05:28.535554	-1.201145E-1	10/7/2019  10:05:28.535554	4.953296E-1
10/7/2019  10:05:28.535574	-1.201145E-1	10/7/2019  10:05:28.535574	4.953296E-1
10/7/2019  10:05:28.535594	-1.201145E-1	10/7/2019  10:05:28.535594	4.953296E-1
10/7/2019  10:05:28.535614	-1.201145E-1	10/7/2019  10:05:28.535614	4.953296E-1
10/7/2019  10:05:28.535634	-1.201145E-1	10/7/2019  10:05:28.535634	4.953296E-1
10/7/2019  10:05:28.535654	-1.201145E-1	10/7/2019  10:05:28.535654	4.953296E-1
10/7/2019  10:05:28.535674	-1.201145E-1	10/7/2019  10:05:28.535674	4.953296E-1
10/7/2019  10:05:28.535694	-1.201145E-1	10/7/2019  10:05:28.535694	5.379213E-1
10/7/2019  10:05:28.535714	-1.201145E-1	10/7/2019  10:05:28.535714	5.379213E-1
10/7/2019  10:05:28.535734	-1.201145E-1	10/7/2019  10:05:28.535734	4.953296E-1
10/7/2019  10:05:28.535754	-1.201145E-1	10/7/2019  10:05:28.535754	4.953296E-1
10/7/2019  10:05:28.535774	-1.201145E-1	10/7/2019  10:05:28.535774	5.379213E-1
10/7/2019  10:05:28.535794	-1.201145E-1	10/7/2019  10:05:28.535794	5.379213E-1
10/7/2019  10:05:28.535814	-1.201145E-1	10/7/2019  10:05:28.535814	5.379213E-1
10/7/2019  10:05:28.535834	-1.201145E-1	10/7/2019  10:05:28.535834	5.379213E-1
10/7/2019  10:05:28.535854	-1.201145E-1	10/7/2019  10:05:28.535854	5.379213E-1
10/7/2019  10:05:28.535874	-1.201145E-1	10/7/2019  10:05:28.535874	5.379213E-1
10/7/2019  10:05:28.535894	-1.201145E-1	10/7/2019  10:05:28.535894	5.805130E-1
10/7/2019  10:05:28.535914	-1.201145E-1	10/7/2019  10:05:28.535914	5.805130E-1
