waveform	Ch0		Gen	
t0	9/18/2019  10:26:55.780095		9/18/2019  10:26:55.780095	
delta t	0.000200		0.000200	

time[0]	Ch0	time[1]	Gen
9/18/2019  10:26:55.780095	-8.839645E-3	9/18/2019  10:26:55.780095	3.879641E-3
9/18/2019  10:26:55.780295	-8.839645E-3	9/18/2019  10:26:55.780295	3.879641E-3
9/18/2019  10:26:55.780495	-3.179687E-4	9/18/2019  10:26:55.780495	3.879641E-3
9/18/2019  10:26:55.780695	-8.839645E-3	9/18/2019  10:26:55.780695	3.879641E-3
9/18/2019  10:26:55.780895	-8.839645E-3	9/18/2019  10:26:55.780895	3.879641E-3
9/18/2019  10:26:55.781095	-8.839645E-3	9/18/2019  10:26:55.781095	3.879641E-3
9/18/2019  10:26:55.781295	-8.839645E-3	9/18/2019  10:26:55.781295	3.879641E-3
9/18/2019  10:26:55.781495	-8.839645E-3	9/18/2019  10:26:55.781495	3.879641E-3
9/18/2019  10:26:55.781695	-8.839645E-3	9/18/2019  10:26:55.781695	3.879641E-3
9/18/2019  10:26:55.781895	-8.839645E-3	9/18/2019  10:26:55.781895	3.879641E-3
9/18/2019  10:26:55.782095	-8.839645E-3	9/18/2019  10:26:55.782095	3.879641E-3
9/18/2019  10:26:55.782295	-8.839645E-3	9/18/2019  10:26:55.782295	3.879641E-3
9/18/2019  10:26:55.782495	-3.179687E-4	9/18/2019  10:26:55.782495	3.879641E-3
9/18/2019  10:26:55.782695	-8.839645E-3	9/18/2019  10:26:55.782695	3.879641E-3
9/18/2019  10:26:55.782895	-8.839645E-3	9/18/2019  10:26:55.782895	3.879641E-3
9/18/2019  10:26:55.783095	-8.839645E-3	9/18/2019  10:26:55.783095	3.879641E-3
9/18/2019  10:26:55.783295	-8.839645E-3	9/18/2019  10:26:55.783295	3.879641E-3
9/18/2019  10:26:55.783495	-1.736132E-2	9/18/2019  10:26:55.783495	3.879641E-3
9/18/2019  10:26:55.783695	-8.839645E-3	9/18/2019  10:26:55.783695	3.879641E-3
9/18/2019  10:26:55.783895	-8.839645E-3	9/18/2019  10:26:55.783895	3.879641E-3
9/18/2019  10:26:55.784095	-8.839645E-3	9/18/2019  10:26:55.784095	3.879641E-3
9/18/2019  10:26:55.784295	-8.839645E-3	9/18/2019  10:26:55.784295	3.879641E-3
9/18/2019  10:26:55.784495	-8.839645E-3	9/18/2019  10:26:55.784495	1.239528E-2
9/18/2019  10:26:55.784695	-3.179687E-4	9/18/2019  10:26:55.784695	3.879641E-3
9/18/2019  10:26:55.784895	-3.179687E-4	9/18/2019  10:26:55.784895	3.879641E-3
9/18/2019  10:26:55.785095	-8.839645E-3	9/18/2019  10:26:55.785095	3.879641E-3
9/18/2019  10:26:55.785295	-8.839645E-3	9/18/2019  10:26:55.785295	3.879641E-3
