waveform	Ch0		Gen	
t0	10/16/2019  10:55:52.115220		10/16/2019  10:55:52.115220	
delta t	2.000000E-5		2.000000E-5	

time[0]	Ch0	time[1]	Gen
10/16/2019  10:55:52.115220	5.079826E-1	10/16/2019  10:55:52.115220	3.912149E-2
10/16/2019  10:55:52.115240	5.931802E-1	10/16/2019  10:55:52.115240	3.912149E-2
10/16/2019  10:55:52.115260	5.931802E-1	10/16/2019  10:55:52.115260	3.912149E-2
10/16/2019  10:55:52.115280	5.931802E-1	10/16/2019  10:55:52.115280	3.912149E-2
10/16/2019  10:55:52.115300	6.783778E-1	10/16/2019  10:55:52.115300	1.243700E-1
10/16/2019  10:55:52.115320	6.783778E-1	10/16/2019  10:55:52.115320	3.912149E-2
10/16/2019  10:55:52.115340	7.635754E-1	10/16/2019  10:55:52.115340	3.912149E-2
10/16/2019  10:55:52.115360	7.635754E-1	10/16/2019  10:55:52.115360	3.912149E-2
10/16/2019  10:55:52.115380	7.635754E-1	10/16/2019  10:55:52.115380	3.912149E-2
10/16/2019  10:55:52.115400	7.635754E-1	10/16/2019  10:55:52.115400	3.912149E-2
10/16/2019  10:55:52.115420	8.487729E-1	10/16/2019  10:55:52.115420	3.912149E-2
10/16/2019  10:55:52.115440	8.487729E-1	10/16/2019  10:55:52.115440	3.912149E-2
10/16/2019  10:55:52.115460	9.339705E-1	10/16/2019  10:55:52.115460	3.912149E-2
10/16/2019  10:55:52.115480	9.339705E-1	10/16/2019  10:55:52.115480	3.912149E-2
10/16/2019  10:55:52.115500	9.339705E-1	10/16/2019  10:55:52.115500	3.912149E-2
10/16/2019  10:55:52.115520	1.019168E+0	10/16/2019  10:55:52.115520	3.912149E-2
10/16/2019  10:55:52.115540	1.019168E+0	10/16/2019  10:55:52.115540	3.912149E-2
10/16/2019  10:55:52.115560	1.019168E+0	10/16/2019  10:55:52.115560	3.912149E-2
10/16/2019  10:55:52.115580	1.104366E+0	10/16/2019  10:55:52.115580	3.912149E-2
10/16/2019  10:55:52.115600	1.189563E+0	10/16/2019  10:55:52.115600	3.912149E-2
10/16/2019  10:55:52.115620	1.189563E+0	10/16/2019  10:55:52.115620	3.912149E-2
10/16/2019  10:55:52.115640	1.189563E+0	10/16/2019  10:55:52.115640	3.912149E-2
10/16/2019  10:55:52.115660	1.189563E+0	10/16/2019  10:55:52.115660	3.912149E-2
10/16/2019  10:55:52.115680	1.189563E+0	10/16/2019  10:55:52.115680	3.912149E-2
10/16/2019  10:55:52.115700	1.274761E+0	10/16/2019  10:55:52.115700	3.912149E-2
10/16/2019  10:55:52.115720	1.359958E+0	10/16/2019  10:55:52.115720	3.912149E-2
10/16/2019  10:55:52.115740	1.359958E+0	10/16/2019  10:55:52.115740	3.912149E-2
10/16/2019  10:55:52.115760	1.359958E+0	10/16/2019  10:55:52.115760	3.912149E-2
10/16/2019  10:55:52.115780	1.445156E+0	10/16/2019  10:55:52.115780	3.912149E-2
10/16/2019  10:55:52.115800	1.445156E+0	10/16/2019  10:55:52.115800	3.912149E-2
10/16/2019  10:55:52.115820	1.445156E+0	10/16/2019  10:55:52.115820	3.912149E-2
10/16/2019  10:55:52.115840	1.445156E+0	10/16/2019  10:55:52.115840	3.912149E-2
10/16/2019  10:55:52.115860	1.530354E+0	10/16/2019  10:55:52.115860	3.912149E-2
10/16/2019  10:55:52.115880	1.615551E+0	10/16/2019  10:55:52.115880	3.912149E-2
10/16/2019  10:55:52.115900	1.615551E+0	10/16/2019  10:55:52.115900	3.912149E-2
