#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AE3681
#Date Time: 2020-09-14 11:53:59.488
#Start: 14461 Hz
#Stop: 20879.6 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.44198 V
#Offset: -0.00025017 V
#Relative: no
#Channel: Channel 2
#Range: 5.4844 V
#Offset: 0.000101632 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
14460.96395,0.01623833195938016,-49.84847148007245,-84.253919813435
14496.41948302191,0.01861619376271768,-50.02637700031777,-83.72749299376989
14531.96194626687,0.02076841830929189,-49.97740305791899,-84.83010604397737
14567.59155287127,0.0217713130612137,-50.15869620971359,-83.87331569043414
14603.30851649405,0.02203746329599554,-50.36267443635354,-84.33473776933141
14639.113051318,0.02184973612632227,-50.56819617923799,-84.50625937977539
14675.00537205105,0.02242230971699684,-50.79219777627966,-84.63313807002436
14710.98569392754,0.02214474142630775,-50.7740035598019,-83.67271463890867
14747.05423270955,0.02184443996362702,-50.90661759619947,-83.56287968014716
14783.21120468815,0.02157832657110113,-51.00388334674527,-84.17739199176278
14819.45682668471,0.02132037713331857,-51.49403381213897,-84.46752262099483
14855.79131605222,0.02134995597663204,-51.35979586697412,-83.55496873213508
14892.21489067657,0.02264672436869162,-51.56483354171934,-83.63550493825528
14928.72776897786,0.02179777207305851,-51.75951903420867,-83.51025454509457
14965.33016991172,0.02299116223281105,-51.92730539318654,-83.16516322549887
15002.02231297062,0.02259548693419859,-51.98861264560438,-83.22788181659062
15038.80441818518,0.02239747639935218,-52.2512974232118,-84.59641851488487
15075.6767061255,0.02212615106469814,-52.44507444053475,-83.24706286459988
15112.63939790246,0.02245362504112807,-52.54612445260868,-82.52394634200537
15149.69271516907,0.02209852023243798,-52.75373790784545,-82.74807357230343
15186.83688012181,0.02179008482409993,-53.05859635104311,-84.24810721345608
15224.07211550192,0.02206022805519767,-53.30696332647346,-82.5015497082158
15261.39864459675,0.02264496713864306,-53.16354482478853,-84.64953438932275
15298.81669124114,0.02153724003524676,-53.24536617556483,-80.64377133890599
15336.32647981871,0.0226503200112261,-53.82494517943746,-82.4283208657826
15373.92823526323,0.0189333831603407,-53.80003758583407,-83.16165507812909
15411.62218305997,0.0157731883596358,-54.4235302636143,-82.42054008977289
15449.40854924703,0.01210647622359465,-54.39065496029765,-82.14944600302366
15487.28756041673,0.008082877790294839,-54.43107488008909,-81.45925389667596
15525.25944371695,0.01089087890116489,-54.68654544807357,-81.13136764656571
15563.32442685249,0.01649248864860355,-55.18838642756644,-80.16784778880915
15601.48273808643,0.01858749910132619,-55.60343161595537,-81.9200914614886
15639.73460624152,0.02097175383127958,-55.37938035018568,-80.97680695848307
15678.08026070154,0.02219039257439246,-56.29937835852346,-81.33518191135698
15716.51993141265,0.02205735415664271,-56.38350708113843,-81.08531647148948
15755.05384888485,0.02308222913917363,-56.55943910976081,-80.73152723005899
15793.68224419324,0.02360572702618534,-56.57869562710629,-81.32426934951691
15832.40534897952,0.02398976282851743,-57.01467800707188,-81.3638092718474
15871.22339545331,0.02266821460066028,-57.58313758253366,-80.35192732008183
15910.13661639357,0.02349572963425682,-57.52903084395026,-77.0160641014899
15949.14524515,0.02232795467236158,-58.06005799721085,-77.49919559798241
15988.2495156444,0.02297235613259171,-58.42241084948508,-79.75483846021361
16027.44966237212,0.02410621000504314,-58.56819382448013,-78.79283664302608
16066.74592040347,0.02289894171016999,-59.14978732304478,-76.76683382671479
16106.13852538506,0.0233039420584515,-59.74433473174889,-78.86121677165011
16145.6277135413,0.0238833235524227,-60.26571838737877,-74.8466401617279
