waveform	Ch0		Gen	
t0	10/9/2019  11:39:15.266165		10/9/2019  11:39:15.266165	
delta t	2.000000E-5		2.000000E-5	

time[0]	Ch0	time[1]	Gen
10/9/2019  11:39:15.266165	8.199476E-2	10/9/2019  11:39:15.266165	3.912149E-2
10/9/2019  11:39:15.266185	8.199476E-2	10/9/2019  11:39:15.266185	3.912149E-2
10/9/2019  11:39:15.266205	-3.202813E-3	10/9/2019  11:39:15.266205	3.912149E-2
10/9/2019  11:39:15.266225	-3.202813E-3	10/9/2019  11:39:15.266225	1.243700E-1
10/9/2019  11:39:15.266245	-8.840039E-2	10/9/2019  11:39:15.266245	3.912149E-2
10/9/2019  11:39:15.266265	-8.840039E-2	10/9/2019  11:39:15.266265	3.912149E-2
10/9/2019  11:39:15.266285	-8.840039E-2	10/9/2019  11:39:15.266285	3.912149E-2
10/9/2019  11:39:15.266305	-1.735980E-1	10/9/2019  11:39:15.266305	3.912149E-2
10/9/2019  11:39:15.266325	-1.735980E-1	10/9/2019  11:39:15.266325	3.912149E-2
10/9/2019  11:39:15.266345	-2.587955E-1	10/9/2019  11:39:15.266345	3.912149E-2
10/9/2019  11:39:15.266365	-2.587955E-1	10/9/2019  11:39:15.266365	3.912149E-2
10/9/2019  11:39:15.266385	-2.587955E-1	10/9/2019  11:39:15.266385	3.912149E-2
10/9/2019  11:39:15.266405	-2.587955E-1	10/9/2019  11:39:15.266405	3.912149E-2
10/9/2019  11:39:15.266425	-2.587955E-1	10/9/2019  11:39:15.266425	3.912149E-2
10/9/2019  11:39:15.266445	-3.439931E-1	10/9/2019  11:39:15.266445	3.912149E-2
10/9/2019  11:39:15.266465	-4.291907E-1	10/9/2019  11:39:15.266465	3.912149E-2
10/9/2019  11:39:15.266485	-4.291907E-1	10/9/2019  11:39:15.266485	3.912149E-2
10/9/2019  11:39:15.266505	-4.291907E-1	10/9/2019  11:39:15.266505	3.912149E-2
10/9/2019  11:39:15.266525	-4.291907E-1	10/9/2019  11:39:15.266525	3.912149E-2
10/9/2019  11:39:15.266545	-5.995858E-1	10/9/2019  11:39:15.266545	-4.612700E-2
10/9/2019  11:39:15.266565	-5.995858E-1	10/9/2019  11:39:15.266565	3.912149E-2
10/9/2019  11:39:15.266585	-5.995858E-1	10/9/2019  11:39:15.266585	3.912149E-2
10/9/2019  11:39:15.266605	-5.995858E-1	10/9/2019  11:39:15.266605	3.912149E-2
10/9/2019  11:39:15.266625	-6.847834E-1	10/9/2019  11:39:15.266625	3.912149E-2
10/9/2019  11:39:15.266645	-6.847834E-1	10/9/2019  11:39:15.266645	3.912149E-2
10/9/2019  11:39:15.266665	-7.699810E-1	10/9/2019  11:39:15.266665	3.912149E-2
10/9/2019  11:39:15.266685	-7.699810E-1	10/9/2019  11:39:15.266685	3.912149E-2
10/9/2019  11:39:15.266705	-7.699810E-1	10/9/2019  11:39:15.266705	3.912149E-2
10/9/2019  11:39:15.266725	-8.551786E-1	10/9/2019  11:39:15.266725	3.912149E-2
10/9/2019  11:39:15.266745	-9.403761E-1	10/9/2019  11:39:15.266745	3.912149E-2
10/9/2019  11:39:15.266765	-8.551786E-1	10/9/2019  11:39:15.266765	3.912149E-2
