waveform	Ch0		Gen	
t0	10/9/2019  11:06:22.392385		10/9/2019  11:06:22.392385	
delta t	2.000000E-5		2.000000E-5	

time[0]	Ch0	time[1]	Gen
10/9/2019  11:06:22.392385	-3.202813E-3	10/9/2019  11:06:22.392385	1.243700E-1
10/9/2019  11:06:22.392405	-3.202813E-3	10/9/2019  11:06:22.392405	1.243700E-1
10/9/2019  11:06:22.392425	-8.840039E-2	10/9/2019  11:06:22.392425	1.243700E-1
10/9/2019  11:06:22.392445	-8.840039E-2	10/9/2019  11:06:22.392445	1.243700E-1
10/9/2019  11:06:22.392465	-1.735980E-1	10/9/2019  11:06:22.392465	1.243700E-1
10/9/2019  11:06:22.392485	-1.735980E-1	10/9/2019  11:06:22.392485	1.243700E-1
10/9/2019  11:06:22.392505	-2.587955E-1	10/9/2019  11:06:22.392505	1.243700E-1
10/9/2019  11:06:22.392525	-2.587955E-1	10/9/2019  11:06:22.392525	1.243700E-1
10/9/2019  11:06:22.392545	-2.587955E-1	10/9/2019  11:06:22.392545	3.912149E-2
10/9/2019  11:06:22.392565	-3.439931E-1	10/9/2019  11:06:22.392565	1.243700E-1
10/9/2019  11:06:22.392585	-3.439931E-1	10/9/2019  11:06:22.392585	1.243700E-1
10/9/2019  11:06:22.392605	-3.439931E-1	10/9/2019  11:06:22.392605	1.243700E-1
10/9/2019  11:06:22.392625	-4.291907E-1	10/9/2019  11:06:22.392625	3.912149E-2
10/9/2019  11:06:22.392645	-4.291907E-1	10/9/2019  11:06:22.392645	1.243700E-1
10/9/2019  11:06:22.392665	-4.291907E-1	10/9/2019  11:06:22.392665	1.243700E-1
10/9/2019  11:06:22.392685	-4.291907E-1	10/9/2019  11:06:22.392685	1.243700E-1
10/9/2019  11:06:22.392705	-5.143883E-1	10/9/2019  11:06:22.392705	1.243700E-1
10/9/2019  11:06:22.392725	-5.995858E-1	10/9/2019  11:06:22.392725	3.912149E-2
10/9/2019  11:06:22.392745	-5.995858E-1	10/9/2019  11:06:22.392745	1.243700E-1
10/9/2019  11:06:22.392765	-5.995858E-1	10/9/2019  11:06:22.392765	1.243700E-1
10/9/2019  11:06:22.392785	-5.995858E-1	10/9/2019  11:06:22.392785	1.243700E-1
10/9/2019  11:06:22.392805	-6.847834E-1	10/9/2019  11:06:22.392805	3.912149E-2
10/9/2019  11:06:22.392825	-6.847834E-1	10/9/2019  11:06:22.392825	3.912149E-2
10/9/2019  11:06:22.392845	-6.847834E-1	10/9/2019  11:06:22.392845	3.912149E-2
10/9/2019  11:06:22.392865	-7.699810E-1	10/9/2019  11:06:22.392865	1.243700E-1
10/9/2019  11:06:22.392885	-8.551786E-1	10/9/2019  11:06:22.392885	1.243700E-1
10/9/2019  11:06:22.392905	-8.551786E-1	10/9/2019  11:06:22.392905	1.243700E-1
10/9/2019  11:06:22.392925	-9.403761E-1	10/9/2019  11:06:22.392925	1.243700E-1
10/9/2019  11:06:22.392945	-9.403761E-1	10/9/2019  11:06:22.392945	1.243700E-1
10/9/2019  11:06:22.392965	-9.403761E-1	10/9/2019  11:06:22.392965	1.243700E-1
10/9/2019  11:06:22.392985	-9.403761E-1	10/9/2019  11:06:22.392985	1.243700E-1
10/9/2019  11:06:22.393005	-1.025574E+0	10/9/2019  11:06:22.393005	3.912149E-2
10/9/2019  11:06:22.393025	-1.025574E+0	10/9/2019  11:06:22.393025	3.912149E-2
10/9/2019  11:06:22.393045	-1.025574E+0	10/9/2019  11:06:22.393045	1.243700E-1
10/9/2019  11:06:22.393065	-1.110771E+0	10/9/2019  11:06:22.393065	1.243700E-1
10/9/2019  11:06:22.393085	-1.195969E+0	10/9/2019  11:06:22.393085	1.243700E-1
10/9/2019  11:06:22.393105	-1.281166E+0	10/9/2019  11:06:22.393105	3.912149E-2
10/9/2019  11:06:22.393125	-1.281166E+0	10/9/2019  11:06:22.393125	1.243700E-1
10/9/2019  11:06:22.393145	-1.366364E+0	10/9/2019  11:06:22.393145	1.243700E-1
10/9/2019  11:06:22.393165	-1.366364E+0	10/9/2019  11:06:22.393165	3.912149E-2
10/9/2019  11:06:22.393185	-1.451562E+0	10/9/2019  11:06:22.393185	1.243700E-1
10/9/2019  11:06:22.393205	-1.451562E+0	10/9/2019  11:06:22.393205	3.912149E-2
10/9/2019  11:06:22.393225	-1.536759E+0	10/9/2019  11:06:22.393225	3.912149E-2
10/9/2019  11:06:22.393245	-1.536759E+0	10/9/2019  11:06:22.393245	1.243700E-1
10/9/2019  11:06:22.393265	-1.536759E+0	10/9/2019  11:06:22.393265	1.243700E-1
10/9/2019  11:06:22.393285	-1.621957E+0	10/9/2019  11:06:22.393285	1.243700E-1
10/9/2019  11:06:22.393305	-1.621957E+0	10/9/2019  11:06:22.393305	1.243700E-1
10/9/2019  11:06:22.393325	-1.621957E+0	10/9/2019  11:06:22.393325	1.243700E-1
10/9/2019  11:06:22.393345	-1.707154E+0	10/9/2019  11:06:22.393345	1.243700E-1
10/9/2019  11:06:22.393365	-1.707154E+0	10/9/2019  11:06:22.393365	1.243700E-1
10/9/2019  11:06:22.393385	-1.707154E+0	10/9/2019  11:06:22.393385	1.243700E-1
10/9/2019  11:06:22.393405	-1.792352E+0	10/9/2019  11:06:22.393405	1.243700E-1
10/9/2019  11:06:22.393425	-1.792352E+0	10/9/2019  11:06:22.393425	1.243700E-1
10/9/2019  11:06:22.393445	-1.877549E+0	10/9/2019  11:06:22.393445	3.912149E-2
10/9/2019  11:06:22.393465	-1.877549E+0	10/9/2019  11:06:22.393465	1.243700E-1
10/9/2019  11:06:22.393485	-1.962747E+0	10/9/2019  11:06:22.393485	1.243700E-1
10/9/2019  11:06:22.393505	-1.962747E+0	10/9/2019  11:06:22.393505	3.912149E-2
10/9/2019  11:06:22.393525	-2.047945E+0	10/9/2019  11:06:22.393525	1.243700E-1
