waveform	Ch0		Gen	
t0	9/18/2019  10:22:17.843560		9/18/2019  10:22:17.843560	
delta t	0.000500		0.000500	

time[0]	Ch0	time[1]	Gen
9/18/2019  10:22:17.843560	-7.921857E-3	9/18/2019  10:22:17.843560	6.734870E-2
9/18/2019  10:22:17.844060	-7.921857E-3	9/18/2019  10:22:17.844060	6.734870E-2
9/18/2019  10:22:17.844560	-7.921857E-3	9/18/2019  10:22:17.844560	6.734870E-2
9/18/2019  10:22:17.845060	-7.921857E-3	9/18/2019  10:22:17.845060	6.734870E-2
9/18/2019  10:22:17.845560	-1.219807E-2	9/18/2019  10:22:17.845560	6.734870E-2
9/18/2019  10:22:17.846060	-7.921857E-3	9/18/2019  10:22:17.846060	6.734870E-2
9/18/2019  10:22:17.846560	-1.219807E-2	9/18/2019  10:22:17.846560	2.484661E-2
9/18/2019  10:22:17.847060	-7.921857E-3	9/18/2019  10:22:17.847060	6.734870E-2
9/18/2019  10:22:17.847560	-7.921857E-3	9/18/2019  10:22:17.847560	6.734870E-2
9/18/2019  10:22:17.848060	-7.921857E-3	9/18/2019  10:22:17.848060	6.734870E-2
9/18/2019  10:22:17.848560	-7.921857E-3	9/18/2019  10:22:17.848560	6.734870E-2
9/18/2019  10:22:17.849060	-7.921857E-3	9/18/2019  10:22:17.849060	1.098508E-1
9/18/2019  10:22:17.849560	-7.921857E-3	9/18/2019  10:22:17.849560	6.734870E-2
9/18/2019  10:22:17.850060	-1.219807E-2	9/18/2019  10:22:17.850060	6.734870E-2
9/18/2019  10:22:17.850560	-7.921857E-3	9/18/2019  10:22:17.850560	6.734870E-2
9/18/2019  10:22:17.851060	-7.921857E-3	9/18/2019  10:22:17.851060	6.734870E-2
9/18/2019  10:22:17.851560	-1.219807E-2	9/18/2019  10:22:17.851560	6.734870E-2
9/18/2019  10:22:17.852060	-7.921857E-3	9/18/2019  10:22:17.852060	6.734870E-2
9/18/2019  10:22:17.852560	-1.219807E-2	9/18/2019  10:22:17.852560	6.734870E-2
9/18/2019  10:22:17.853060	-1.219807E-2	9/18/2019  10:22:17.853060	6.734870E-2
9/18/2019  10:22:17.853560	-1.219807E-2	9/18/2019  10:22:17.853560	6.734870E-2
9/18/2019  10:22:17.854060	-7.921857E-3	9/18/2019  10:22:17.854060	2.484661E-2
9/18/2019  10:22:17.854560	-7.921857E-3	9/18/2019  10:22:17.854560	6.734870E-2
9/18/2019  10:22:17.855060	-7.921857E-3	9/18/2019  10:22:17.855060	6.734870E-2
9/18/2019  10:22:17.855560	-7.921857E-3	9/18/2019  10:22:17.855560	1.098508E-1
9/18/2019  10:22:17.856060	-1.219807E-2	9/18/2019  10:22:17.856060	6.734870E-2
9/18/2019  10:22:17.856560	-7.921857E-3	9/18/2019  10:22:17.856560	6.734870E-2
9/18/2019  10:22:17.857060	-7.921857E-3	9/18/2019  10:22:17.857060	6.734870E-2
9/18/2019  10:22:17.857560	-7.921857E-3	9/18/2019  10:22:17.857560	6.734870E-2
9/18/2019  10:22:17.858060	-7.921857E-3	9/18/2019  10:22:17.858060	6.734870E-2
9/18/2019  10:22:17.858560	-7.921857E-3	9/18/2019  10:22:17.858560	6.734870E-2
9/18/2019  10:22:17.859060	-7.921857E-3	9/18/2019  10:22:17.859060	6.734870E-2
9/18/2019  10:22:17.859560	-7.921857E-3	9/18/2019  10:22:17.859560	6.734870E-2
9/18/2019  10:22:17.860060	-7.921857E-3	9/18/2019  10:22:17.860060	6.734870E-2
9/18/2019  10:22:17.860560	-7.921857E-3	9/18/2019  10:22:17.860560	6.734870E-2
9/18/2019  10:22:17.861060	-7.921857E-3	9/18/2019  10:22:17.861060	6.734870E-2
9/18/2019  10:22:17.861560	-7.921857E-3	9/18/2019  10:22:17.861560	6.734870E-2
9/18/2019  10:22:17.862060	-3.645645E-3	9/18/2019  10:22:17.862060	6.734870E-2
9/18/2019  10:22:17.862560	-7.921857E-3	9/18/2019  10:22:17.862560	6.734870E-2
9/18/2019  10:22:17.863060	-7.921857E-3	9/18/2019  10:22:17.863060	6.734870E-2
9/18/2019  10:22:17.863560	-7.921857E-3	9/18/2019  10:22:17.863560	6.734870E-2
9/18/2019  10:22:17.864060	-7.921857E-3	9/18/2019  10:22:17.864060	2.484661E-2
