waveform	Ch0		Gen	
t0	9/30/2019  11:03:28.972405		9/30/2019  11:03:28.972405	
delta t	2.000000E-5		2.000000E-5	

time[0]	Ch0	time[1]	Gen
9/30/2019  11:03:28.972405	5.642265E+0	9/30/2019  11:03:28.972405	-1.676846E+1
9/30/2019  11:03:28.972425	6.069979E+0	9/30/2019  11:03:28.972425	-1.676846E+1
9/30/2019  11:03:28.972445	5.642265E+0	9/30/2019  11:03:28.972445	-1.676846E+1
9/30/2019  11:03:28.972465	5.642265E+0	9/30/2019  11:03:28.972465	-1.719438E+1
9/30/2019  11:03:28.972485	5.642265E+0	9/30/2019  11:03:28.972485	-1.719438E+1
9/30/2019  11:03:28.972505	5.642265E+0	9/30/2019  11:03:28.972505	-1.719438E+1
9/30/2019  11:03:28.972525	5.642265E+0	9/30/2019  11:03:28.972525	-1.676846E+1
9/30/2019  11:03:28.972545	5.642265E+0	9/30/2019  11:03:28.972545	-1.676846E+1
9/30/2019  11:03:28.972565	5.642265E+0	9/30/2019  11:03:28.972565	-1.676846E+1
9/30/2019  11:03:28.972585	5.642265E+0	9/30/2019  11:03:28.972585	-1.719438E+1
9/30/2019  11:03:28.972605	5.642265E+0	9/30/2019  11:03:28.972605	-1.676846E+1
9/30/2019  11:03:28.972625	5.642265E+0	9/30/2019  11:03:28.972625	-1.676846E+1
9/30/2019  11:03:28.972645	5.642265E+0	9/30/2019  11:03:28.972645	-1.676846E+1
9/30/2019  11:03:28.972665	5.642265E+0	9/30/2019  11:03:28.972665	-1.719438E+1
9/30/2019  11:03:28.972685	5.642265E+0	9/30/2019  11:03:28.972685	-1.676846E+1
9/30/2019  11:03:28.972705	5.642265E+0	9/30/2019  11:03:28.972705	-1.676846E+1
9/30/2019  11:03:28.972725	5.642265E+0	9/30/2019  11:03:28.972725	-1.676846E+1
9/30/2019  11:03:28.972745	5.642265E+0	9/30/2019  11:03:28.972745	-1.676846E+1
9/30/2019  11:03:28.972765	5.642265E+0	9/30/2019  11:03:28.972765	-1.719438E+1
9/30/2019  11:03:28.972785	5.642265E+0	9/30/2019  11:03:28.972785	-1.676846E+1
9/30/2019  11:03:28.972805	5.642265E+0	9/30/2019  11:03:28.972805	-1.676846E+1
9/30/2019  11:03:28.972825	5.214552E+0	9/30/2019  11:03:28.972825	-1.676846E+1
9/30/2019  11:03:28.972845	5.642265E+0	9/30/2019  11:03:28.972845	-1.634255E+1
9/30/2019  11:03:28.972865	5.642265E+0	9/30/2019  11:03:28.972865	-1.676846E+1
9/30/2019  11:03:28.972885	5.642265E+0	9/30/2019  11:03:28.972885	-1.676846E+1
9/30/2019  11:03:28.972905	5.214552E+0	9/30/2019  11:03:28.972905	-1.676846E+1
9/30/2019  11:03:28.972925	5.642265E+0	9/30/2019  11:03:28.972925	-1.676846E+1
9/30/2019  11:03:28.972945	5.642265E+0	9/30/2019  11:03:28.972945	-1.676846E+1
9/30/2019  11:03:28.972965	5.214552E+0	9/30/2019  11:03:28.972965	-1.676846E+1
9/30/2019  11:03:28.972985	5.642265E+0	9/30/2019  11:03:28.972985	-1.676846E+1
9/30/2019  11:03:28.973005	5.214552E+0	9/30/2019  11:03:28.973005	-1.676846E+1
9/30/2019  11:03:28.973025	5.214552E+0	9/30/2019  11:03:28.973025	-1.676846E+1
9/30/2019  11:03:28.973045	5.214552E+0	9/30/2019  11:03:28.973045	-1.634255E+1
9/30/2019  11:03:28.973065	5.214552E+0	9/30/2019  11:03:28.973065	-1.634255E+1
9/30/2019  11:03:28.973085	5.214552E+0	9/30/2019  11:03:28.973085	-1.634255E+1
9/30/2019  11:03:28.973105	5.214552E+0	9/30/2019  11:03:28.973105	-1.634255E+1
9/30/2019  11:03:28.973125	5.214552E+0	9/30/2019  11:03:28.973125	-1.591663E+1
9/30/2019  11:03:28.973145	5.214552E+0	9/30/2019  11:03:28.973145	-1.634255E+1
9/30/2019  11:03:28.973165	5.214552E+0	9/30/2019  11:03:28.973165	-1.634255E+1
9/30/2019  11:03:28.973185	5.214552E+0	9/30/2019  11:03:28.973185	-1.634255E+1
9/30/2019  11:03:28.973205	4.786839E+0	9/30/2019  11:03:28.973205	-1.591663E+1
9/30/2019  11:03:28.973225	4.786839E+0	9/30/2019  11:03:28.973225	-1.591663E+1
9/30/2019  11:03:28.973245	5.214552E+0	9/30/2019  11:03:28.973245	-1.634255E+1
9/30/2019  11:03:28.973265	5.214552E+0	9/30/2019  11:03:28.973265	-1.634255E+1
9/30/2019  11:03:28.973285	4.786839E+0	9/30/2019  11:03:28.973285	-1.591663E+1
9/30/2019  11:03:28.973305	4.786839E+0	9/30/2019  11:03:28.973305	-1.634255E+1
9/30/2019  11:03:28.973325	4.786839E+0	9/30/2019  11:03:28.973325	-1.591663E+1
9/30/2019  11:03:28.973345	4.786839E+0	9/30/2019  11:03:28.973345	-1.591663E+1
9/30/2019  11:03:28.973365	4.786839E+0	9/30/2019  11:03:28.973365	-1.591663E+1
9/30/2019  11:03:28.973385	4.786839E+0	9/30/2019  11:03:28.973385	-1.549071E+1
9/30/2019  11:03:28.973405	4.786839E+0	9/30/2019  11:03:28.973405	-1.591663E+1
9/30/2019  11:03:28.973425	4.359126E+0	9/30/2019  11:03:28.973425	-1.591663E+1
9/30/2019  11:03:28.973445	4.359126E+0	9/30/2019  11:03:28.973445	-1.549071E+1
9/30/2019  11:03:28.973465	4.786839E+0	9/30/2019  11:03:28.973465	-1.549071E+1
9/30/2019  11:03:28.973485	4.359126E+0	9/30/2019  11:03:28.973485	-1.549071E+1
9/30/2019  11:03:28.973505	4.359126E+0	9/30/2019  11:03:28.973505	-1.549071E+1
9/30/2019  11:03:28.973525	4.786839E+0	9/30/2019  11:03:28.973525	-1.549071E+1
9/30/2019  11:03:28.973545	4.359126E+0	9/30/2019  11:03:28.973545	-1.549071E+1
9/30/2019  11:03:28.973565	4.359126E+0	9/30/2019  11:03:28.973565	-1.549071E+1
9/30/2019  11:03:28.973585	3.931413E+0	9/30/2019  11:03:28.973585	-1.549071E+1
9/30/2019  11:03:28.973605	4.359126E+0	9/30/2019  11:03:28.973605	-1.549071E+1
9/30/2019  11:03:28.973625	4.359126E+0	9/30/2019  11:03:28.973625	-1.549071E+1
9/30/2019  11:03:28.973645	4.359126E+0	9/30/2019  11:03:28.973645	-1.549071E+1
9/30/2019  11:03:28.973665	3.931413E+0	9/30/2019  11:03:28.973665	-1.506480E+1
9/30/2019  11:03:28.973685	3.931413E+0	9/30/2019  11:03:28.973685	-1.506480E+1
9/30/2019  11:03:28.973705	3.931413E+0	9/30/2019  11:03:28.973705	-1.549071E+1
9/30/2019  11:03:28.973725	3.931413E+0	9/30/2019  11:03:28.973725	-1.506480E+1
9/30/2019  11:03:28.973745	3.931413E+0	9/30/2019  11:03:28.973745	-1.506480E+1
9/30/2019  11:03:28.973765	3.931413E+0	9/30/2019  11:03:28.973765	-1.506480E+1
9/30/2019  11:03:28.973785	3.931413E+0	9/30/2019  11:03:28.973785	-1.506480E+1
9/30/2019  11:03:28.973805	3.503700E+0	9/30/2019  11:03:28.973805	-1.463888E+1
9/30/2019  11:03:28.973825	3.931413E+0	9/30/2019  11:03:28.973825	-1.506480E+1
9/30/2019  11:03:28.973845	3.931413E+0	9/30/2019  11:03:28.973845	-1.506480E+1
9/30/2019  11:03:28.973865	3.931413E+0	9/30/2019  11:03:28.973865	-1.506480E+1
9/30/2019  11:03:28.973885	3.503700E+0	9/30/2019  11:03:28.973885	-1.463888E+1
9/30/2019  11:03:28.973905	3.503700E+0	9/30/2019  11:03:28.973905	-1.463888E+1
9/30/2019  11:03:28.973925	3.503700E+0	9/30/2019  11:03:28.973925	-1.463888E+1
9/30/2019  11:03:28.973945	3.503700E+0	9/30/2019  11:03:28.973945	-1.463888E+1
9/30/2019  11:03:28.973965	3.075987E+0	9/30/2019  11:03:28.973965	-1.463888E+1
9/30/2019  11:03:28.973985	3.503700E+0	9/30/2019  11:03:28.973985	-1.463888E+1
9/30/2019  11:03:28.974005	3.075987E+0	9/30/2019  11:03:28.974005	-1.421296E+1
9/30/2019  11:03:28.974025	3.503700E+0	9/30/2019  11:03:28.974025	-1.421296E+1
9/30/2019  11:03:28.974045	3.075987E+0	9/30/2019  11:03:28.974045	-1.421296E+1
9/30/2019  11:03:28.974065	3.503700E+0	9/30/2019  11:03:28.974065	-1.421296E+1
9/30/2019  11:03:28.974085	3.075987E+0	9/30/2019  11:03:28.974085	-1.378705E+1
9/30/2019  11:03:28.974105	3.075987E+0	9/30/2019  11:03:28.974105	-1.378705E+1
9/30/2019  11:03:28.974125	3.075987E+0	9/30/2019  11:03:28.974125	-1.378705E+1
9/30/2019  11:03:28.974145	2.648274E+0	9/30/2019  11:03:28.974145	-1.378705E+1
9/30/2019  11:03:28.974165	3.075987E+0	9/30/2019  11:03:28.974165	-1.378705E+1
9/30/2019  11:03:28.974185	3.075987E+0	9/30/2019  11:03:28.974185	-1.378705E+1
9/30/2019  11:03:28.974205	2.648274E+0	9/30/2019  11:03:28.974205	-1.378705E+1
9/30/2019  11:03:28.974225	2.220560E+0	9/30/2019  11:03:28.974225	-1.378705E+1
9/30/2019  11:03:28.974245	2.648274E+0	9/30/2019  11:03:28.974245	-1.378705E+1
9/30/2019  11:03:28.974265	2.648274E+0	9/30/2019  11:03:28.974265	-1.378705E+1
9/30/2019  11:03:28.974285	2.648274E+0	9/30/2019  11:03:28.974285	-1.378705E+1
9/30/2019  11:03:28.974305	2.220560E+0	9/30/2019  11:03:28.974305	-1.378705E+1
9/30/2019  11:03:28.974325	2.220560E+0	9/30/2019  11:03:28.974325	-1.378705E+1
9/30/2019  11:03:28.974345	2.220560E+0	9/30/2019  11:03:28.974345	-1.293521E+1
9/30/2019  11:03:28.974365	2.220560E+0	9/30/2019  11:03:28.974365	-1.336113E+1
9/30/2019  11:03:28.974385	2.220560E+0	9/30/2019  11:03:28.974385	-1.336113E+1
9/30/2019  11:03:28.974405	2.220560E+0	9/30/2019  11:03:28.974405	-1.336113E+1
9/30/2019  11:03:28.974425	2.220560E+0	9/30/2019  11:03:28.974425	-1.336113E+1
9/30/2019  11:03:28.974445	1.792847E+0	9/30/2019  11:03:28.974445	-1.336113E+1
9/30/2019  11:03:28.974465	1.792847E+0	9/30/2019  11:03:28.974465	-1.293521E+1
9/30/2019  11:03:28.974485	1.792847E+0	9/30/2019  11:03:28.974485	-1.293521E+1
9/30/2019  11:03:28.974505	1.792847E+0	9/30/2019  11:03:28.974505	-1.336113E+1
9/30/2019  11:03:28.974525	1.792847E+0	9/30/2019  11:03:28.974525	-1.293521E+1
9/30/2019  11:03:28.974545	1.792847E+0	9/30/2019  11:03:28.974545	-1.250930E+1
9/30/2019  11:03:28.974565	1.792847E+0	9/30/2019  11:03:28.974565	-1.293521E+1
9/30/2019  11:03:28.974585	1.365134E+0	9/30/2019  11:03:28.974585	-1.293521E+1
9/30/2019  11:03:28.974605	1.792847E+0	9/30/2019  11:03:28.974605	-1.250930E+1
9/30/2019  11:03:28.974625	1.365134E+0	9/30/2019  11:03:28.974625	-1.208338E+1
9/30/2019  11:03:28.974645	1.365134E+0	9/30/2019  11:03:28.974645	-1.250930E+1
9/30/2019  11:03:28.974665	1.365134E+0	9/30/2019  11:03:28.974665	-1.250930E+1
9/30/2019  11:03:28.974685	9.374210E-1	9/30/2019  11:03:28.974685	-1.250930E+1
9/30/2019  11:03:28.974705	1.365134E+0	9/30/2019  11:03:28.974705	-1.208338E+1
9/30/2019  11:03:28.974725	1.365134E+0	9/30/2019  11:03:28.974725	-1.208338E+1
