waveform	Ch0		Gen	
t0	9/30/2019  11:17:49.118258		9/30/2019  11:17:49.118258	
delta t	2.000000E-5		2.000000E-5	

time[0]	Ch0	time[1]	Gen
9/30/2019  11:17:49.118258	8.199477E-2	9/30/2019  11:17:49.118258	2.397795E+0
9/30/2019  11:17:49.118278	8.199477E-2	9/30/2019  11:17:49.118278	2.397795E+0
9/30/2019  11:17:49.118298	8.199477E-2	9/30/2019  11:17:49.118298	1.971878E+0
9/30/2019  11:17:49.118318	8.199477E-2	9/30/2019  11:17:49.118318	1.971878E+0
9/30/2019  11:17:49.118338	8.199477E-2	9/30/2019  11:17:49.118338	1.545961E+0
9/30/2019  11:17:49.118358	8.199477E-2	9/30/2019  11:17:49.118358	1.971878E+0
9/30/2019  11:17:49.118378	8.199477E-2	9/30/2019  11:17:49.118378	1.545961E+0
9/30/2019  11:17:49.118398	8.199477E-2	9/30/2019  11:17:49.118398	1.545961E+0
9/30/2019  11:17:49.118418	5.097079E-1	9/30/2019  11:17:49.118418	1.545961E+0
9/30/2019  11:17:49.118438	5.097079E-1	9/30/2019  11:17:49.118438	1.545961E+0
9/30/2019  11:17:49.118458	5.097079E-1	9/30/2019  11:17:49.118458	1.545961E+0
9/30/2019  11:17:49.118478	5.097079E-1	9/30/2019  11:17:49.118478	1.120044E+0
9/30/2019  11:17:49.118498	5.097079E-1	9/30/2019  11:17:49.118498	1.120044E+0
9/30/2019  11:17:49.118518	5.097079E-1	9/30/2019  11:17:49.118518	1.120044E+0
9/30/2019  11:17:49.118538	5.097079E-1	9/30/2019  11:17:49.118538	6.941273E-1
9/30/2019  11:17:49.118558	5.097079E-1	9/30/2019  11:17:49.118558	1.120044E+0
9/30/2019  11:17:49.118578	5.097079E-1	9/30/2019  11:17:49.118578	6.941273E-1
9/30/2019  11:17:49.118598	9.374210E-1	9/30/2019  11:17:49.118598	6.941273E-1
9/30/2019  11:17:49.118618	5.097079E-1	9/30/2019  11:17:49.118618	6.941273E-1
9/30/2019  11:17:49.118638	5.097079E-1	9/30/2019  11:17:49.118638	2.682105E-1
9/30/2019  11:17:49.118658	9.374210E-1	9/30/2019  11:17:49.118658	6.941273E-1
9/30/2019  11:17:49.118678	9.374210E-1	9/30/2019  11:17:49.118678	2.682105E-1
