waveform	Ch0		Gen	
t0	10/7/2019  11:09:06.025820		10/7/2019  11:09:06.025820	
delta t	2.000000E-6		2.000000E-6	

time[0]	Ch0	time[1]	Gen
10/7/2019  11:09:06.025820	-4.622850E-1	10/7/2019  11:09:06.025820	3.675545E-1
10/7/2019  11:09:06.025822	-4.622850E-1	10/7/2019  11:09:06.025822	3.675545E-1
10/7/2019  11:09:06.025824	-4.622850E-1	10/7/2019  11:09:06.025824	3.675545E-1
10/7/2019  11:09:06.025826	-4.195137E-1	10/7/2019  11:09:06.025826	3.675545E-1
10/7/2019  11:09:06.025828	-4.622850E-1	10/7/2019  11:09:06.025828	3.675545E-1
10/7/2019  11:09:06.025830	-4.622850E-1	10/7/2019  11:09:06.025830	3.249629E-1
10/7/2019  11:09:06.025832	-4.195137E-1	10/7/2019  11:09:06.025832	3.249629E-1
10/7/2019  11:09:06.025834	-4.622850E-1	10/7/2019  11:09:06.025834	3.249629E-1
10/7/2019  11:09:06.025836	-4.622850E-1	10/7/2019  11:09:06.025836	3.675545E-1
10/7/2019  11:09:06.025838	-4.622850E-1	10/7/2019  11:09:06.025838	3.249629E-1
10/7/2019  11:09:06.025840	-4.622850E-1	10/7/2019  11:09:06.025840	3.675545E-1
10/7/2019  11:09:06.025842	-4.622850E-1	10/7/2019  11:09:06.025842	3.249629E-1
10/7/2019  11:09:06.025844	-4.195137E-1	10/7/2019  11:09:06.025844	3.249629E-1
10/7/2019  11:09:06.025846	-4.622850E-1	10/7/2019  11:09:06.025846	3.249629E-1
10/7/2019  11:09:06.025848	-4.195137E-1	10/7/2019  11:09:06.025848	3.249629E-1
10/7/2019  11:09:06.025850	-4.195137E-1	10/7/2019  11:09:06.025850	3.249629E-1
10/7/2019  11:09:06.025852	-4.195137E-1	10/7/2019  11:09:06.025852	3.249629E-1
10/7/2019  11:09:06.025854	-4.622850E-1	10/7/2019  11:09:06.025854	3.249629E-1
10/7/2019  11:09:06.025856	-4.195137E-1	10/7/2019  11:09:06.025856	2.823712E-1
10/7/2019  11:09:06.025858	-4.195137E-1	10/7/2019  11:09:06.025858	2.823712E-1
10/7/2019  11:09:06.025860	-4.195137E-1	10/7/2019  11:09:06.025860	3.249629E-1
10/7/2019  11:09:06.025862	-4.195137E-1	10/7/2019  11:09:06.025862	2.823712E-1
10/7/2019  11:09:06.025864	-4.622850E-1	10/7/2019  11:09:06.025864	2.823712E-1
10/7/2019  11:09:06.025866	-4.195137E-1	10/7/2019  11:09:06.025866	2.823712E-1
10/7/2019  11:09:06.025868	-4.622850E-1	10/7/2019  11:09:06.025868	3.249629E-1
10/7/2019  11:09:06.025870	-4.622850E-1	10/7/2019  11:09:06.025870	3.249629E-1
10/7/2019  11:09:06.025872	-4.622850E-1	10/7/2019  11:09:06.025872	2.823712E-1
10/7/2019  11:09:06.025874	-4.622850E-1	10/7/2019  11:09:06.025874	2.823712E-1
10/7/2019  11:09:06.025876	-4.622850E-1	10/7/2019  11:09:06.025876	2.823712E-1
10/7/2019  11:09:06.025878	-4.195137E-1	10/7/2019  11:09:06.025878	2.823712E-1
10/7/2019  11:09:06.025880	-4.622850E-1	10/7/2019  11:09:06.025880	2.823712E-1
10/7/2019  11:09:06.025882	-4.195137E-1	10/7/2019  11:09:06.025882	2.823712E-1
10/7/2019  11:09:06.025884	-4.622850E-1	10/7/2019  11:09:06.025884	2.823712E-1
10/7/2019  11:09:06.025886	-4.195137E-1	10/7/2019  11:09:06.025886	2.397795E-1
10/7/2019  11:09:06.025888	-4.195137E-1	10/7/2019  11:09:06.025888	2.397795E-1
10/7/2019  11:09:06.025890	-4.195137E-1	10/7/2019  11:09:06.025890	2.397795E-1
10/7/2019  11:09:06.025892	-4.195137E-1	10/7/2019  11:09:06.025892	2.397795E-1
10/7/2019  11:09:06.025894	-4.195137E-1	10/7/2019  11:09:06.025894	2.823712E-1
10/7/2019  11:09:06.025896	-4.195137E-1	10/7/2019  11:09:06.025896	2.397795E-1
10/7/2019  11:09:06.025898	-4.195137E-1	10/7/2019  11:09:06.025898	2.397795E-1
10/7/2019  11:09:06.025900	-4.622850E-1	10/7/2019  11:09:06.025900	2.397795E-1
10/7/2019  11:09:06.025902	-4.195137E-1	10/7/2019  11:09:06.025902	2.397795E-1
10/7/2019  11:09:06.025904	-4.622850E-1	10/7/2019  11:09:06.025904	2.397795E-1
10/7/2019  11:09:06.025906	-4.195137E-1	10/7/2019  11:09:06.025906	1.971878E-1
10/7/2019  11:09:06.025908	-4.622850E-1	10/7/2019  11:09:06.025908	2.397795E-1
10/7/2019  11:09:06.025910	-4.195137E-1	10/7/2019  11:09:06.025910	1.971878E-1
10/7/2019  11:09:06.025912	-4.195137E-1	10/7/2019  11:09:06.025912	1.971878E-1
10/7/2019  11:09:06.025914	-4.195137E-1	10/7/2019  11:09:06.025914	1.971878E-1
10/7/2019  11:09:06.025916	-4.195137E-1	10/7/2019  11:09:06.025916	2.397795E-1
10/7/2019  11:09:06.025918	-4.622850E-1	10/7/2019  11:09:06.025918	1.971878E-1
10/7/2019  11:09:06.025920	-4.195137E-1	10/7/2019  11:09:06.025920	1.971878E-1
10/7/2019  11:09:06.025922	-4.622850E-1	10/7/2019  11:09:06.025922	1.971878E-1
10/7/2019  11:09:06.025924	-4.622850E-1	10/7/2019  11:09:06.025924	1.971878E-1
10/7/2019  11:09:06.025926	-4.195137E-1	10/7/2019  11:09:06.025926	2.397795E-1
10/7/2019  11:09:06.025928	-4.195137E-1	10/7/2019  11:09:06.025928	2.397795E-1
10/7/2019  11:09:06.025930	-4.622850E-1	10/7/2019  11:09:06.025930	1.971878E-1
10/7/2019  11:09:06.025932	-4.195137E-1	10/7/2019  11:09:06.025932	1.971878E-1
10/7/2019  11:09:06.025934	-4.622850E-1	10/7/2019  11:09:06.025934	1.971878E-1
10/7/2019  11:09:06.025936	-4.622850E-1	10/7/2019  11:09:06.025936	1.971878E-1
10/7/2019  11:09:06.025938	-4.622850E-1	10/7/2019  11:09:06.025938	1.971878E-1
10/7/2019  11:09:06.025940	-4.622850E-1	10/7/2019  11:09:06.025940	1.971878E-1
10/7/2019  11:09:06.025942	-4.195137E-1	10/7/2019  11:09:06.025942	1.971878E-1
10/7/2019  11:09:06.025944	-4.622850E-1	10/7/2019  11:09:06.025944	1.971878E-1
10/7/2019  11:09:06.025946	-4.195137E-1	10/7/2019  11:09:06.025946	1.971878E-1
10/7/2019  11:09:06.025948	-4.195137E-1	10/7/2019  11:09:06.025948	1.971878E-1
10/7/2019  11:09:06.025950	-4.195137E-1	10/7/2019  11:09:06.025950	1.971878E-1
10/7/2019  11:09:06.025952	-4.622850E-1	10/7/2019  11:09:06.025952	1.971878E-1
10/7/2019  11:09:06.025954	-4.195137E-1	10/7/2019  11:09:06.025954	1.545961E-1
10/7/2019  11:09:06.025956	-4.195137E-1	10/7/2019  11:09:06.025956	1.971878E-1
