waveform	Ch0		Gen	
t0	9/18/2019  11:28:19.370274		9/18/2019  11:28:19.370274	
delta t	8.000000E-7		8.000000E-7	

time[0]	Ch0	time[1]	Gen
9/18/2019  11:28:19.370274	-5.116185E-1	9/18/2019  11:28:19.370274	6.909135E-4
9/18/2019  11:28:19.370274	-5.116185E-1	9/18/2019  11:28:19.370274	-1.851866E-3
9/18/2019  11:28:19.370275	-5.030969E-1	9/18/2019  11:28:19.370275	2.809896E-3
9/18/2019  11:28:19.370276	-5.116185E-1	9/18/2019  11:28:19.370276	-1.004273E-3
9/18/2019  11:28:19.370277	-5.116185E-1	9/18/2019  11:28:19.370277	1.538507E-3
9/18/2019  11:28:19.370278	-5.116185E-1	9/18/2019  11:28:19.370278	2.671170E-4
9/18/2019  11:28:19.370278	-5.030969E-1	9/18/2019  11:28:19.370278	-1.566795E-4
9/18/2019  11:28:19.370279	-5.030969E-1	9/18/2019  11:28:19.370279	1.114710E-3
9/18/2019  11:28:19.370280	-5.030969E-1	9/18/2019  11:28:19.370280	-5.804761E-4
9/18/2019  11:28:19.370281	-5.116185E-1	9/18/2019  11:28:19.370281	-4.394645E-3
9/18/2019  11:28:19.370282	-5.030969E-1	9/18/2019  11:28:19.370282	4.081286E-3
9/18/2019  11:28:19.370282	-5.030969E-1	9/18/2019  11:28:19.370282	-1.428069E-3
9/18/2019  11:28:19.370283	-5.030969E-1	9/18/2019  11:28:19.370283	-1.851866E-3
9/18/2019  11:28:19.370284	-5.030969E-1	9/18/2019  11:28:19.370284	-1.851866E-3
9/18/2019  11:28:19.370285	-5.030969E-1	9/18/2019  11:28:19.370285	-1.004273E-3
9/18/2019  11:28:19.370286	-5.030969E-1	9/18/2019  11:28:19.370286	2.386100E-3
9/18/2019  11:28:19.370286	-5.030969E-1	9/18/2019  11:28:19.370286	-1.428069E-3
9/18/2019  11:28:19.370287	-5.116185E-1	9/18/2019  11:28:19.370287	1.538507E-3
9/18/2019  11:28:19.370288	-5.116185E-1	9/18/2019  11:28:19.370288	4.928879E-3
9/18/2019  11:28:19.370289	-5.030969E-1	9/18/2019  11:28:19.370289	-1.004273E-3
9/18/2019  11:28:19.370290	-5.030969E-1	9/18/2019  11:28:19.370290	2.671170E-4
9/18/2019  11:28:19.370290	-5.116185E-1	9/18/2019  11:28:19.370290	-1.004273E-3
9/18/2019  11:28:19.370291	-5.116185E-1	9/18/2019  11:28:19.370291	-1.851866E-3
9/18/2019  11:28:19.370292	-5.030969E-1	9/18/2019  11:28:19.370292	-1.851866E-3
9/18/2019  11:28:19.370293	-5.116185E-1	9/18/2019  11:28:19.370293	1.114710E-3
9/18/2019  11:28:19.370294	-5.116185E-1	9/18/2019  11:28:19.370294	-1.566795E-4
9/18/2019  11:28:19.370294	-5.030969E-1	9/18/2019  11:28:19.370294	1.962303E-3
9/18/2019  11:28:19.370295	-5.116185E-1	9/18/2019  11:28:19.370295	3.233693E-3
9/18/2019  11:28:19.370296	-5.116185E-1	9/18/2019  11:28:19.370296	4.505082E-3
9/18/2019  11:28:19.370297	-5.030969E-1	9/18/2019  11:28:19.370297	-1.428069E-3
9/18/2019  11:28:19.370298	-5.030969E-1	9/18/2019  11:28:19.370298	6.909135E-4
9/18/2019  11:28:19.370298	-5.030969E-1	9/18/2019  11:28:19.370298	4.928879E-3
9/18/2019  11:28:19.370299	-5.030969E-1	9/18/2019  11:28:19.370299	-1.004273E-3
9/18/2019  11:28:19.370300	-5.116185E-1	9/18/2019  11:28:19.370300	2.671170E-4
9/18/2019  11:28:19.370301	-5.030969E-1	9/18/2019  11:28:19.370301	-1.428069E-3
9/18/2019  11:28:19.370302	-5.116185E-1	9/18/2019  11:28:19.370302	-1.566795E-4
9/18/2019  11:28:19.370302	-5.116185E-1	9/18/2019  11:28:19.370302	-1.566795E-4
9/18/2019  11:28:19.370303	-5.116185E-1	9/18/2019  11:28:19.370303	3.233693E-3
9/18/2019  11:28:19.370304	-5.030969E-1	9/18/2019  11:28:19.370304	1.538507E-3
9/18/2019  11:28:19.370305	-5.116185E-1	9/18/2019  11:28:19.370305	-1.428069E-3
9/18/2019  11:28:19.370306	-5.116185E-1	9/18/2019  11:28:19.370306	-1.004273E-3
9/18/2019  11:28:19.370306	-5.116185E-1	9/18/2019  11:28:19.370306	1.962303E-3
9/18/2019  11:28:19.370307	-5.030969E-1	9/18/2019  11:28:19.370307	-4.394645E-3
9/18/2019  11:28:19.370308	-5.116185E-1	9/18/2019  11:28:19.370308	-2.275662E-3
9/18/2019  11:28:19.370309	-5.116185E-1	9/18/2019  11:28:19.370309	-5.804761E-4
9/18/2019  11:28:19.370310	-5.116185E-1	9/18/2019  11:28:19.370310	-1.851866E-3
9/18/2019  11:28:19.370310	-5.030969E-1	9/18/2019  11:28:19.370310	-1.566795E-4
9/18/2019  11:28:19.370311	-5.116185E-1	9/18/2019  11:28:19.370311	-4.818441E-3
9/18/2019  11:28:19.370312	-5.030969E-1	9/18/2019  11:28:19.370312	-1.566795E-4
9/18/2019  11:28:19.370313	-5.030969E-1	9/18/2019  11:28:19.370313	-1.566795E-4
9/18/2019  11:28:19.370314	-5.030969E-1	9/18/2019  11:28:19.370314	-1.851866E-3
9/18/2019  11:28:19.370314	-5.030969E-1	9/18/2019  11:28:19.370314	2.671170E-4
9/18/2019  11:28:19.370315	-5.116185E-1	9/18/2019  11:28:19.370315	2.671170E-4
9/18/2019  11:28:19.370316	-5.030969E-1	9/18/2019  11:28:19.370316	-1.851866E-3
9/18/2019  11:28:19.370317	-5.030969E-1	9/18/2019  11:28:19.370317	-1.566795E-4
9/18/2019  11:28:19.370318	-5.030969E-1	9/18/2019  11:28:19.370318	-5.804761E-4
9/18/2019  11:28:19.370318	-5.030969E-1	9/18/2019  11:28:19.370318	-1.566795E-4
9/18/2019  11:28:19.370319	-5.030969E-1	9/18/2019  11:28:19.370319	-1.428069E-3
9/18/2019  11:28:19.370320	-5.116185E-1	9/18/2019  11:28:19.370320	6.909135E-4
9/18/2019  11:28:19.370321	-5.116185E-1	9/18/2019  11:28:19.370321	-1.566795E-4
9/18/2019  11:28:19.370322	-5.116185E-1	9/18/2019  11:28:19.370322	-3.547052E-3
9/18/2019  11:28:19.370322	-5.030969E-1	9/18/2019  11:28:19.370322	6.624065E-3
9/18/2019  11:28:19.370323	-5.116185E-1	9/18/2019  11:28:19.370323	-1.566795E-4
9/18/2019  11:28:19.370324	-5.030969E-1	9/18/2019  11:28:19.370324	-3.970848E-3
9/18/2019  11:28:19.370325	-5.030969E-1	9/18/2019  11:28:19.370325	-5.804761E-4
9/18/2019  11:28:19.370326	-5.030969E-1	9/18/2019  11:28:19.370326	-1.566795E-4
9/18/2019  11:28:19.370326	-5.030969E-1	9/18/2019  11:28:19.370326	1.538507E-3
9/18/2019  11:28:19.370327	-5.030969E-1	9/18/2019  11:28:19.370327	-1.566795E-4
9/18/2019  11:28:19.370328	-5.030969E-1	9/18/2019  11:28:19.370328	1.114710E-3
9/18/2019  11:28:19.370329	-5.030969E-1	9/18/2019  11:28:19.370329	4.505082E-3
9/18/2019  11:28:19.370330	-5.030969E-1	9/18/2019  11:28:19.370330	6.909135E-4
9/18/2019  11:28:19.370330	-4.945752E-1	9/18/2019  11:28:19.370330	-1.851866E-3
9/18/2019  11:28:19.370331	-5.030969E-1	9/18/2019  11:28:19.370331	-5.804761E-4
9/18/2019  11:28:19.370332	-5.030969E-1	9/18/2019  11:28:19.370332	2.386100E-3
9/18/2019  11:28:19.370333	-5.030969E-1	9/18/2019  11:28:19.370333	-3.970848E-3
9/18/2019  11:28:19.370334	-5.116185E-1	9/18/2019  11:28:19.370334	6.909135E-4
9/18/2019  11:28:19.370334	-5.116185E-1	9/18/2019  11:28:19.370334	6.909135E-4
9/18/2019  11:28:19.370335	-5.030969E-1	9/18/2019  11:28:19.370335	6.909135E-4
9/18/2019  11:28:19.370336	-5.030969E-1	9/18/2019  11:28:19.370336	2.671170E-4
9/18/2019  11:28:19.370337	-5.116185E-1	9/18/2019  11:28:19.370337	-1.566795E-4
9/18/2019  11:28:19.370338	-5.030969E-1	9/18/2019  11:28:19.370338	4.505082E-3
9/18/2019  11:28:19.370338	-5.116185E-1	9/18/2019  11:28:19.370338	1.538507E-3
9/18/2019  11:28:19.370339	-5.116185E-1	9/18/2019  11:28:19.370339	-1.004273E-3
9/18/2019  11:28:19.370340	-5.116185E-1	9/18/2019  11:28:19.370340	2.386100E-3
9/18/2019  11:28:19.370341	-5.116185E-1	9/18/2019  11:28:19.370341	-2.275662E-3
9/18/2019  11:28:19.370342	-5.116185E-1	9/18/2019  11:28:19.370342	1.538507E-3
9/18/2019  11:28:19.370342	-5.030969E-1	9/18/2019  11:28:19.370342	-5.804761E-4
9/18/2019  11:28:19.370343	-5.030969E-1	9/18/2019  11:28:19.370343	-1.566795E-4
9/18/2019  11:28:19.370344	-5.030969E-1	9/18/2019  11:28:19.370344	6.909135E-4
9/18/2019  11:28:19.370345	-5.030969E-1	9/18/2019  11:28:19.370345	2.671170E-4
9/18/2019  11:28:19.370346	-5.116185E-1	9/18/2019  11:28:19.370346	1.538507E-3
9/18/2019  11:28:19.370346	-5.116185E-1	9/18/2019  11:28:19.370346	3.657489E-3
9/18/2019  11:28:19.370347	-5.030969E-1	9/18/2019  11:28:19.370347	2.671170E-4
9/18/2019  11:28:19.370348	-5.116185E-1	9/18/2019  11:28:19.370348	-1.004273E-3
9/18/2019  11:28:19.370349	-5.030969E-1	9/18/2019  11:28:19.370349	-5.804761E-4
9/18/2019  11:28:19.370350	-5.116185E-1	9/18/2019  11:28:19.370350	-1.566795E-4
9/18/2019  11:28:19.370350	-5.116185E-1	9/18/2019  11:28:19.370350	-5.666034E-3
9/18/2019  11:28:19.370351	-5.030969E-1	9/18/2019  11:28:19.370351	-2.699459E-3
9/18/2019  11:28:19.370352	-5.030969E-1	9/18/2019  11:28:19.370352	1.538507E-3
9/18/2019  11:28:19.370353	-5.030969E-1	9/18/2019  11:28:19.370353	-1.566795E-4
9/18/2019  11:28:19.370354	-5.030969E-1	9/18/2019  11:28:19.370354	1.538507E-3
9/18/2019  11:28:19.370354	-5.116185E-1	9/18/2019  11:28:19.370354	-1.566795E-4
9/18/2019  11:28:19.370355	-5.030969E-1	9/18/2019  11:28:19.370355	-5.804761E-4
9/18/2019  11:28:19.370356	-5.116185E-1	9/18/2019  11:28:19.370356	-5.804761E-4
9/18/2019  11:28:19.370357	-5.030969E-1	9/18/2019  11:28:19.370357	-4.394645E-3
9/18/2019  11:28:19.370358	-5.030969E-1	9/18/2019  11:28:19.370358	-1.566795E-4
9/18/2019  11:28:19.370358	-5.030969E-1	9/18/2019  11:28:19.370358	-1.004273E-3
9/18/2019  11:28:19.370359	-5.030969E-1	9/18/2019  11:28:19.370359	-4.818441E-3
9/18/2019  11:28:19.370360	-5.030969E-1	9/18/2019  11:28:19.370360	1.114710E-3
9/18/2019  11:28:19.370361	-5.030969E-1	9/18/2019  11:28:19.370361	-1.004273E-3
9/18/2019  11:28:19.370362	-5.030969E-1	9/18/2019  11:28:19.370362	1.962303E-3
9/18/2019  11:28:19.370362	-5.116185E-1	9/18/2019  11:28:19.370362	-1.428069E-3
9/18/2019  11:28:19.370363	-5.030969E-1	9/18/2019  11:28:19.370363	2.386100E-3
9/18/2019  11:28:19.370364	-5.030969E-1	9/18/2019  11:28:19.370364	6.909135E-4
9/18/2019  11:28:19.370365	-5.116185E-1	9/18/2019  11:28:19.370365	-1.428069E-3
9/18/2019  11:28:19.370366	-5.030969E-1	9/18/2019  11:28:19.370366	-1.004273E-3
9/18/2019  11:28:19.370366	-5.030969E-1	9/18/2019  11:28:19.370366	-2.275662E-3
9/18/2019  11:28:19.370367	-5.030969E-1	9/18/2019  11:28:19.370367	-5.804761E-4
9/18/2019  11:28:19.370368	-5.030969E-1	9/18/2019  11:28:19.370368	-3.123255E-3
9/18/2019  11:28:19.370369	-5.030969E-1	9/18/2019  11:28:19.370369	-1.851866E-3
9/18/2019  11:28:19.370370	-5.116185E-1	9/18/2019  11:28:19.370370	2.809896E-3
9/18/2019  11:28:19.370370	-5.116185E-1	9/18/2019  11:28:19.370370	-5.242238E-3
9/18/2019  11:28:19.370371	-5.030969E-1	9/18/2019  11:28:19.370371	6.909135E-4
9/18/2019  11:28:19.370372	-5.030969E-1	9/18/2019  11:28:19.370372	-1.566795E-4
9/18/2019  11:28:19.370373	-5.030969E-1	9/18/2019  11:28:19.370373	6.909135E-4
9/18/2019  11:28:19.370374	-5.116185E-1	9/18/2019  11:28:19.370374	-2.699459E-3
9/18/2019  11:28:19.370374	-5.030969E-1	9/18/2019  11:28:19.370374	-2.275662E-3
9/18/2019  11:28:19.370375	-5.116185E-1	9/18/2019  11:28:19.370375	2.671170E-4
9/18/2019  11:28:19.370376	-5.030969E-1	9/18/2019  11:28:19.370376	-3.547052E-3
9/18/2019  11:28:19.370377	-5.030969E-1	9/18/2019  11:28:19.370377	-5.242238E-3
9/18/2019  11:28:19.370378	-5.030969E-1	9/18/2019  11:28:19.370378	-5.804761E-4
9/18/2019  11:28:19.370378	-5.030969E-1	9/18/2019  11:28:19.370378	-1.566795E-4
9/18/2019  11:28:19.370379	-5.116185E-1	9/18/2019  11:28:19.370379	2.671170E-4
9/18/2019  11:28:19.370380	-5.116185E-1	9/18/2019  11:28:19.370380	-5.804761E-4
9/18/2019  11:28:19.370381	-5.030969E-1	9/18/2019  11:28:19.370381	2.386100E-3
9/18/2019  11:28:19.370382	-5.116185E-1	9/18/2019  11:28:19.370382	-1.566795E-4
9/18/2019  11:28:19.370382	-5.116185E-1	9/18/2019  11:28:19.370382	-1.566795E-4
9/18/2019  11:28:19.370383	-5.030969E-1	9/18/2019  11:28:19.370383	6.909135E-4
9/18/2019  11:28:19.370384	-5.030969E-1	9/18/2019  11:28:19.370384	-2.275662E-3
9/18/2019  11:28:19.370385	-5.030969E-1	9/18/2019  11:28:19.370385	-5.804761E-4
9/18/2019  11:28:19.370386	-5.030969E-1	9/18/2019  11:28:19.370386	-5.242238E-3
9/18/2019  11:28:19.370386	-5.030969E-1	9/18/2019  11:28:19.370386	-1.004273E-3
9/18/2019  11:28:19.370387	-5.030969E-1	9/18/2019  11:28:19.370387	-1.566795E-4
9/18/2019  11:28:19.370388	-5.030969E-1	9/18/2019  11:28:19.370388	-1.566795E-4
9/18/2019  11:28:19.370389	-5.116185E-1	9/18/2019  11:28:19.370389	-1.566795E-4
9/18/2019  11:28:19.370390	-5.030969E-1	9/18/2019  11:28:19.370390	1.538507E-3
9/18/2019  11:28:19.370390	-5.030969E-1	9/18/2019  11:28:19.370390	-1.004273E-3
9/18/2019  11:28:19.370391	-5.030969E-1	9/18/2019  11:28:19.370391	2.671170E-4
9/18/2019  11:28:19.370392	-5.030969E-1	9/18/2019  11:28:19.370392	6.909135E-4
9/18/2019  11:28:19.370393	-5.030969E-1	9/18/2019  11:28:19.370393	2.671170E-4
